,,Parasite genus,Acolpenteron,Actinocleidus,Anonchohaptor,Cleidodiscus,Cleidodiscus,Cleidodiscus,Cleidodiscus,Cleidodiscus,Cleidodiscus,Cleidodiscus,Dactylogyrus,Dactylogyrus,Dactylogyrus,Dactylogyrus,Discocotyle,Gyrodactylus,Gyrodactylus,Gyrodactylus,Gyrodactylus,Gyrodactylus,Octomacrum,Octomacrum,Octomacrum,Pellucidhaptor,Pseudomurraytrema,Pseudomurraytrema,Tetraonchus,Allocreadium,Allocreadium,Alloglossidium,Alloglossidium,Apophallus,Azygia,Azygia,Bucephalus,Bunodera,Bunoderina,Caecincola,Centrovarium,Clinostomum,Crassiphiala,Crepidostomum,Crepidostomum,Crepidostomum,Crepidostomum,Cryptogonimus,Diplostomum,Diplostomum,Diplostomum,Diplostomulum,Microphallus,Neascus,Neochasmus,Phyllodistomum,Phyllodistomum,Phyllodistomum,Phyllodistomum,Phyllodistomum,Phyllodistomum,Plagioporus,Posthodiplostomum,Sanguinicola,Tetracotyle,Tetracotyle,Triganodistomum,Uvulifer,Biacetabulum,Biacetabulum,Bothriocephalus,Bothriocephalus,Bothriocephalus,Bothriocephalus,Corallobothrium,Cyathocephalus,Diphyllobothrium,Eubothrium,Eubothrium,Glaridacris,Glaridacris,Glaridacris,Hunterella,Ligula,Proteocephalus,Proteocephalus,Proteocephalus,Proteocephalus,Proteocephalus,Proteocephalus,Proteocephalus,Proteocephalus,Proteocephalus,Schistocephalus,Triaenophorus,Triaenophorus,Triaenophorus,Triaenophorus,Triaenophorus,Triaenophorus,Camallanus,Capillaria,Capillaria,Contracaecum,Contracaecum,Contracaecum,Cystidicola,Cystidicola,Dichelyne,Eustrongylides,Philometra,Philometra,Rhabdochona,Spinitectus,Spinitectus,Spiroxys,Leptorhynchoides,Leptorhynchoides,Metechinorhynchus,Metechinorhynchus,Neoechinorhynchus,Neoechinorhynchus,Neoechinorhynchus,Neoechinorhynchus,Neoechinorhynchus,Neoechinorhynchus,Neoechinorhynchus,Neoechinorhynchus,Octospinifer,Pomphorhynchus,Actinobdella,Illinobdella,Illinobdella,Piscicola,Achtheres,Achtheres,Ergasilus,Ergasilus,Ergasilus,Ergasilus,Ergasilus,Salmincola,Argulus,Argulus,Argulus,Argulus
,,Parasite species,catostomi,fusiformis,anomalum,aculeatus,adspectus,banghami,brachus,capax,malleus,pricei,bifurcatus,eucaliae,mylocheilus,sp.,sagittata,bairdi,spathulatus,eucaliae,macrochiri,sp.,lanceatum,semotili,sp.,nasalis,copulatum,sp.,monenteron,lobatum,ictaluri,corti,geminus,itascensis (L),angusticauda,longa,pusillus,sacculata,eucaliae,parvus,lobotes,marginatum (L),bulboglossa,cooperi,cornutum,ictaluri,isostomum,chilli,baeri (L),flexicaudum (L),scheuringi,sp. (L),opacus,sp. (L),umbellus,coregoni,lysteri,staffordi,superbum,undulans,sp.,sinitsini,minimum (L),sp.,intermedia (L),sp. (L),attenuatum,ambloplitis (L),infrequens,sp.,claviceps,cuspidatus,formosus,sp.,fimbriatum,truncatus,sp. (L),rugosum,salvelini,catostomi,confusus,intermedius,nodulosa,intestinalis (L),ambloplitis,ambloplitis (L),exiguus,fluviatilis,laruei,parallacticus,pearsei,pinguis,stizostethi,solidus (L),crassus,crassus (L),nodulosus,nodulosus (L),stizostedionis,stizostedionis (L),oxycephalus,bakeri,catenata,brachyurum,brachyurum (L),sp. (L),cristivomeri,stigmatura,cotylophora,sp. (L),cylindracea,sp.,cascadilla,carolini,gracilis,sp (L),thecatus,thecatus (L),lateralis,salmonis,crassus,cristatus,cylindratus,rutili,strigosus,tenellum,tumidum,sp.,macilentus,bulbocolli,triannulata,moorei,sp.,punctata,corpulentus,micropteri,caeruleus,centrarchidarum,osburni,versicolor,sp.,siscowet,appendiculosus,canadensis,catostomi,versicolor
Host species,Sample size,No.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
Salvelinus namaycush,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,57.1,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,85.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.1,0,0,0,0
Coregonus clupeaformis,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,0,0,0,60,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,100,33.3,0,0,0,0,0,0,0,0,0,13.3,0,26.7,0,0,0,0,0,0,53.3,0,0,0,0,0,0,0,0,0,0,0,46.7,0,0,0,0,0,0,0,0,0,0,20,60,0,0,0,0,0,0,6.7,0,0,0,0,0,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0
Coregonus artedii,52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,0,0,0,0,0,0,0,0,17.3,0,0,0,9.6,0,0,0,0,0,0,0,0,0,0,19.2,23.1,0,0,0,0,0,0,0,0,0,34.6,0,5.8,0,0,0,0,0,0,32.7,0,0,0,0,0,0,0,0,0,0,0,15.4,0,0,0,0,0,0,7.7,0,0,0,0,28.8,0,0,0,0,0,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0,23.1,0,0
Esox lucius,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.6,0,0,0,0,0,26.1,8.7,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,30.4,0,0,0,0,0,0,0,0,0,0,8.7,0,0,17.4,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.9,0,0,69.6,0,47.8,0,0,0,0,0,0,95.7,0,0,0,0,0,0,0,0,0,0,0,0,17.4,0,0,39.1,0,0,0,0,0,21.7,0,0,0,0,0,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Carpiodes cyprinus,5,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catostomus commersoni,51,6,25.5,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0,0,0,11.8,0,0,11.8,13.7,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0,0,0,0,0,23.5,0,0,0,7.8,0,0,27.5,0,0,0,0,5.9,0,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,0,5.9,9.8,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,0,0,7.8,0,0,0,0,7.8,0,0,0,0,0,0,0,0,0,7.8,13.7,0,0,0,13.7,15.7,0,0,3.9,0,0,0,3.9,31.4,19.6,0,0,0,0,0,15.7,0,0,0,0,0,0,0,3.9,0
Moxostoma anisurum,6,7,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.7,0,0,0,16.7,0,0,0,0,0,0,0,0,0,66.7,0,0,16.7,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,16.7,0,0,0,0,0,0,0,0,0,16.7,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7,0,0,0,0,0,0,0,0,0
Chrosomus neogaeus,11,8,0,0,0,0,0,0,81.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,9.1,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
