,,Parasite genus,Discocotyle,Octomacrum,Triganodistomum,Triganodistomum,Bucephalus,Bunodera,Bunoderina,Bucephalus,Bucephalopsis,Caecincola,Allocreadium,Acetodextra,Azygia,Azygia,Lebouria,Microphallus,Protometra,Plagioporus,Crepidostomum,Crepidostomum,Crepidostomum,Crepidostomum,Crepidostomum,Centrovarium,Centrovarium,Cryptogonimus,Clinostomum,Rhipidocotyle,Tetracotyle,Neascus,Diplostomulum,Diplostomum,Posthodiplostomum,Glaridacris,Abothrium,Bothriocephalus,Bothriocephalus,Bothriocephalus,Bothriocephalus,Eubothrium,Corallobothrium,Cyathocephalus,Diphyllobothrium,Ligula,Triaenophorus,Triaenophorus,Triaenophorus,Proteocephalus,Proteocephalus,Proteocephalus,Proteocephalus,Proteocephalus,Proteocephalus,Camallanus,Philometra,Philometra,Metabronema,Contracaecum,Cystidicola,Dichelyne,Dichelyne,Dichelyne,Haplonema,Hepaticola,Rhabdochona,Rhabdochona,Spiroxys,Spinitectus,Spinitectus,Spinitectus,Spinitectus,Echinorhynchus,Echinorhynchus,Echinorhynchus,Leptorhynchoides,Neoechinorhynchus,Neoechinorhynchus,Neoechinorhynchus,Neoechinorhynchus,Neoechinorhynchus,Neoechinorhynchus,Octospinifer,Pomphorhynchus,Pomphorhynchus,Actinobdella,Illinobdella,Illinobdella,Illinobdella,Achtheres,Achtheres,Achtheres,Achtheres,Ergasilus,Salmincola,Salmincola,Salmincola,Argulus
,,Parasite species,salmonis,lanceatum,simeri,attenuatum,elegans,sacculata,eucaliae,sp.,pusilla,parvulus,lobatum,amiuri,angusticauda,longa,cooperi,opacus,macrostoma,sinitsini,cooperi,cornutum,ictaluri,isostomum,farionis,lobotes,lobotes (L),chyli,marginatum (L),papillosa,sp. (L),sp. (L),sp. (L),flexicaudum (L),minimum (L),catostomi,crassum,claviceps,cuspidatus,formosus,sp.,salvelini,fimbriatum,americanus,sp. (L),intestinalis (L),crassus,crassus (L),stizostedionis,ambloplitis,exiguus,pinguis,pearsei,stizostethi,laruei,oxycephalus,cylindracea (L),sp. (L),salvelini,brachyurum,stigmatura,cotylophora,robusta,sp.,hamulatum,bakeri,cascadilla,sp.,sp. (L),carolini,gracilis,gracilis (L),sp.,leidyi,salmonis,salmonis (L),thecatus,strigosus,crassus,cylindratus,rutili,tumidus,sp.,macilentus,bulbocolli,bulbocolli (L),triannulata,alba,moorei,sp.,ambloplitis,coregoni,corpulentus,micropteri,caeruleus,inermis,wisconsinsensis,sp.,sp.
Host species,Sample size,No.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
Osmerus mordax,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,72,32,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Coregonus artedi,79,2,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.8,0,0,0,3.8,0,0,0,0,0,0,0,68.4,0,0,77.2,0,0,11.4,0,0,0,89.9,0,0,6.3,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1,13.9,0,5.1
Coregonus hoyi,47,3,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.1,0,0,0,0,0,0,0,0,0,0,0,55.3,0,0,36.2,0,0,27.7,0,0,0,68.1,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,8.5,38.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0
Coregonus clupeaformis,99,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.7,0,0,0,0,0,0,0,0,0,0,40.4,1,0,0,18.2,0,0,64.6,0,0,0,2,0,0,1,0,0,13.1,0,0,0,0,0,0,0,0,0,0,8.1,0,0,68.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Prosopium cylindraceum,22,5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3,0,0,0,0,0,0,0,95.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,0,0,0,0,0,0,4.5,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7,0,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,36.4,0
Oncorhynchus mykiss,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,0,13.3,0,0,0,0,0,0,0,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salvelinus fontinalis,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salvelinus namaycush,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
