,,Parasite genus,Tetraonchus,Discocotyle,Crepidostomum,Crepidostomum,Phyllodistomum,Phyllodistomum,Triaenophorus,Triaenophorus,Eubothrium,Diphyllobothrium,Proteocephalus,Proteocephalus,Proteocephalus,Proteocephalus,Raphidascaris,Raphidascaris,Capillaria,Metabronema,Metechinorhynchus,Neoechinorhynchus,Ergasilus,Salmincola,Salmincola,Salmincola,Salmincola
,,Parasite species,monenteron,sagittata,farionis,cooperi,coregoni,lachancei,crassus,crassus (L),salvelini,sp. (L),pinguis,tumidocollus,sp.1,sp.2,sp.,canadensis,salvelini,salvelini,lateralis,crassus,caeruleus,extumescens,coregonorum,edwardsii,siscowet
Host species,Sample size,No.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Salmo salar,5,1,0,20,0,20,0,20,0,0,100,20,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0
Salvelinus fontinalis,68,2,0,4,60,0,0,72,0,0,65,3,0,1,6,12,7,0,4,3,3,0,0,0,0,37,0
Salvelinus namaycush,32,3,3,0,9,3,0,16,0,13,56,44,0,25,9,53,9,0,59,0,0,0,0,0,0,0,3
Coregonus clupeaformis,102,4,0,18,5,3,21,0,0,16,0,5,0,47,5,3,1,0,20,0,0,0,0,9,1,0,0
Esox lucius,107,5,84,0,0,0,0,0,64,0,0,0,76,0,0,0,0,51,0,0,1,0,0,0,0,0,0
Catostomus catostomus,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,7,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
