source,target,weight
Unidentified detritus,Unidentified detritus,0
Terrestrial invertebrates,Unidentified detritus,0
Plant materials,Unidentified detritus,0
Meiofauna,Unidentified detritus,0
Achnanthes inflata,Unidentified detritus,0
Achnanthes lanceolata,Unidentified detritus,0
Achnanthes linearis,Unidentified detritus,0
Achnanthes minutissima,Unidentified detritus,0
Ankitodesmus sp.,Unidentified detritus,0
Batrachospermum,Unidentified detritus,0
Blue-green algae,Unidentified detritus,0
Calothrix,Unidentified detritus,0
Cocconeis placentula,Unidentified detritus,0
Cymbella kappi,Unidentified detritus,0
Cymbella kappii,Unidentified detritus,0
Cymbella mulleri,Unidentified detritus,0
Diatoma heimale,Unidentified detritus,0
Epithemia sorex,Unidentified detritus,0
Eunotia pectinalis,Unidentified detritus,0
Fragilaria vaucheriae,Unidentified detritus,0
Frustulia rhomboides,Unidentified detritus,0
Gomphoneis herculeana,Unidentified detritus,0
Gomphonema accuminatum,Unidentified detritus,0
Gomphonema angustatum,Unidentified detritus,0
Gomphonema intricatum,Unidentified detritus,0
Gomphonema parvulum,Unidentified detritus,0
Gomphonema sp. III,Unidentified detritus,0
Gomphonema sp. unk,Unidentified detritus,0
Gomphonema truncatum,Unidentified detritus,0
Green algae,Unidentified detritus,0
Gyrosigma,Unidentified detritus,0
Melosira varians,Unidentified detritus,0
Navicula avenacea,Unidentified detritus,0
Navicula rhynocephala,Unidentified detritus,0
Nitzschia dissipata,Unidentified detritus,0
Nitzschia dubia,Unidentified detritus,0
Nitzschia linearis,Unidentified detritus,0
Pinnularia spp.,Unidentified detritus,0
Rhoicosphenia curvata,Unidentified detritus,0
Staurostratum,Unidentified detritus,0
Surirella elegans,Unidentified detritus,0
Synedra ulna,Unidentified detritus,0
Tabellaria flocculosa,Unidentified detritus,0
Ulothrix,Unidentified detritus,0
Ameletopsis perscitus,Unidentified detritus,0
Aoteapsyche,Unidentified detritus,0
Austroperla cyrene,Unidentified detritus,0
Austrosimulium,Unidentified detritus,0
Chironomini,Unidentified detritus,0
Coloburiscus,Unidentified detritus,0
Costachorema,Unidentified detritus,0
Cricotopus sp I,Unidentified detritus,0
Cricotopus sp II,Unidentified detritus,0
Cristaperla,Unidentified detritus,0
Deleatidium,Unidentified detritus,0
Eriopterini,Unidentified detritus,0
Eye forward chiron,Unidentified detritus,0
Helicopsyche,Unidentified detritus,0
Hudsonema aliena,Unidentified detritus,0
Hudsonema amabilis,Unidentified detritus,0
Hydora nitida (ad),Unidentified detritus,0
Hydora nitida (l),Unidentified detritus,0
Hydrobiosella stenocerca,Unidentified detritus,0
Hydrobiosis parumbripennis,Unidentified detritus,0
Mischoderus,Unidentified detritus,0
Nannochorista phillpotti,Unidentified detritus,0
Neozephlebia scita,Unidentified detritus,0
Oligo II,Unidentified detritus,0
Oligo Lumbri pink,Unidentified detritus,0
Oligo skinny,Unidentified detritus,0
Paracalliope fluviatalus,Unidentified detritus,0
Paracalliope pale,Unidentified detritus,0
Paralimnophila skuseii,Unidentified detritus,0
Paucispinigera approximata,Unidentified detritus,0
Polypedellum,Unidentified detritus,0
Polypedellum II,Unidentified detritus,0
Polyplectropus,Unidentified detritus,0
Scirtid,Unidentified detritus,0
Sphaerid,Unidentified detritus,0
Stenoperla prasinia,Unidentified detritus,0
Stictocladius,Unidentified detritus,0
Zelandobius,Unidentified detritus,0
Zelandoperla,Unidentified detritus,0
Zelandotipula,Unidentified detritus,0
Anguilla dieffenbachii,Unidentified detritus,0
Unidentified detritus,Terrestrial invertebrates,0
Terrestrial invertebrates,Terrestrial invertebrates,0
Plant materials,Terrestrial invertebrates,0
Meiofauna,Terrestrial invertebrates,0
Achnanthes inflata,Terrestrial invertebrates,0
Achnanthes lanceolata,Terrestrial invertebrates,0
Achnanthes linearis,Terrestrial invertebrates,0
Achnanthes minutissima,Terrestrial invertebrates,0
Ankitodesmus sp.,Terrestrial invertebrates,0
Batrachospermum,Terrestrial invertebrates,0
Blue-green algae,Terrestrial invertebrates,0
Calothrix,Terrestrial invertebrates,0
Cocconeis placentula,Terrestrial invertebrates,0
Cymbella kappi,Terrestrial invertebrates,0
Cymbella kappii,Terrestrial invertebrates,0
Cymbella mulleri,Terrestrial invertebrates,0
Diatoma heimale,Terrestrial invertebrates,0
Epithemia sorex,Terrestrial invertebrates,0
Eunotia pectinalis,Terrestrial invertebrates,0
Fragilaria vaucheriae,Terrestrial invertebrates,0
Frustulia rhomboides,Terrestrial invertebrates,0
Gomphoneis herculeana,Terrestrial invertebrates,0
Gomphonema accuminatum,Terrestrial invertebrates,0
Gomphonema angustatum,Terrestrial invertebrates,0
Gomphonema intricatum,Terrestrial invertebrates,0
Gomphonema parvulum,Terrestrial invertebrates,0
Gomphonema sp. III,Terrestrial invertebrates,0
Gomphonema sp. unk,Terrestrial invertebrates,0
Gomphonema truncatum,Terrestrial invertebrates,0
Green algae,Terrestrial invertebrates,0
Gyrosigma,Terrestrial invertebrates,0
Melosira varians,Terrestrial invertebrates,0
Navicula avenacea,Terrestrial invertebrates,0
Navicula rhynocephala,Terrestrial invertebrates,0
Nitzschia dissipata,Terrestrial invertebrates,0
Nitzschia dubia,Terrestrial invertebrates,0
Nitzschia linearis,Terrestrial invertebrates,0
Pinnularia spp.,Terrestrial invertebrates,0
Rhoicosphenia curvata,Terrestrial invertebrates,0
Staurostratum,Terrestrial invertebrates,0
Surirella elegans,Terrestrial invertebrates,0
Synedra ulna,Terrestrial invertebrates,0
Tabellaria flocculosa,Terrestrial invertebrates,0
Ulothrix,Terrestrial invertebrates,0
Ameletopsis perscitus,Terrestrial invertebrates,0
Aoteapsyche,Terrestrial invertebrates,0
Austroperla cyrene,Terrestrial invertebrates,0
Austrosimulium,Terrestrial invertebrates,0
Chironomini,Terrestrial invertebrates,0
Coloburiscus,Terrestrial invertebrates,0
Costachorema,Terrestrial invertebrates,0
Cricotopus sp I,Terrestrial invertebrates,0
Cricotopus sp II,Terrestrial invertebrates,0
Cristaperla,Terrestrial invertebrates,0
Deleatidium,Terrestrial invertebrates,0
Eriopterini,Terrestrial invertebrates,0
Eye forward chiron,Terrestrial invertebrates,0
Helicopsyche,Terrestrial invertebrates,0
Hudsonema aliena,Terrestrial invertebrates,0
Hudsonema amabilis,Terrestrial invertebrates,0
Hydora nitida (ad),Terrestrial invertebrates,0
Hydora nitida (l),Terrestrial invertebrates,0
Hydrobiosella stenocerca,Terrestrial invertebrates,0
Hydrobiosis parumbripennis,Terrestrial invertebrates,0
Mischoderus,Terrestrial invertebrates,0
Nannochorista phillpotti,Terrestrial invertebrates,0
Neozephlebia scita,Terrestrial invertebrates,0
Oligo II,Terrestrial invertebrates,0
Oligo Lumbri pink,Terrestrial invertebrates,0
Oligo skinny,Terrestrial invertebrates,0
Paracalliope fluviatalus,Terrestrial invertebrates,0
Paracalliope pale,Terrestrial invertebrates,0
Paralimnophila skuseii,Terrestrial invertebrates,0
Paucispinigera approximata,Terrestrial invertebrates,0
Polypedellum,Terrestrial invertebrates,0
Polypedellum II,Terrestrial invertebrates,0
Polyplectropus,Terrestrial invertebrates,0
Scirtid,Terrestrial invertebrates,0
Sphaerid,Terrestrial invertebrates,0
Stenoperla prasinia,Terrestrial invertebrates,0
Stictocladius,Terrestrial invertebrates,0
Zelandobius,Terrestrial invertebrates,0
Zelandoperla,Terrestrial invertebrates,0
Zelandotipula,Terrestrial invertebrates,0
Anguilla dieffenbachii,Terrestrial invertebrates,0
Unidentified detritus,Plant materials,0
Terrestrial invertebrates,Plant materials,0
Plant materials,Plant materials,0
Meiofauna,Plant materials,0
Achnanthes inflata,Plant materials,0
Achnanthes lanceolata,Plant materials,0
Achnanthes linearis,Plant materials,0
Achnanthes minutissima,Plant materials,0
Ankitodesmus sp.,Plant materials,0
Batrachospermum,Plant materials,0
Blue-green algae,Plant materials,0
Calothrix,Plant materials,0
Cocconeis placentula,Plant materials,0
Cymbella kappi,Plant materials,0
Cymbella kappii,Plant materials,0
Cymbella mulleri,Plant materials,0
Diatoma heimale,Plant materials,0
Epithemia sorex,Plant materials,0
Eunotia pectinalis,Plant materials,0
Fragilaria vaucheriae,Plant materials,0
Frustulia rhomboides,Plant materials,0
Gomphoneis herculeana,Plant materials,0
Gomphonema accuminatum,Plant materials,0
Gomphonema angustatum,Plant materials,0
Gomphonema intricatum,Plant materials,0
Gomphonema parvulum,Plant materials,0
Gomphonema sp. III,Plant materials,0
Gomphonema sp. unk,Plant materials,0
Gomphonema truncatum,Plant materials,0
Green algae,Plant materials,0
Gyrosigma,Plant materials,0
Melosira varians,Plant materials,0
Navicula avenacea,Plant materials,0
Navicula rhynocephala,Plant materials,0
Nitzschia dissipata,Plant materials,0
Nitzschia dubia,Plant materials,0
Nitzschia linearis,Plant materials,0
Pinnularia spp.,Plant materials,0
Rhoicosphenia curvata,Plant materials,0
Staurostratum,Plant materials,0
Surirella elegans,Plant materials,0
Synedra ulna,Plant materials,0
Tabellaria flocculosa,Plant materials,0
Ulothrix,Plant materials,0
Ameletopsis perscitus,Plant materials,0
Aoteapsyche,Plant materials,0
Austroperla cyrene,Plant materials,0
Austrosimulium,Plant materials,0
Chironomini,Plant materials,0
Coloburiscus,Plant materials,0
Costachorema,Plant materials,0
Cricotopus sp I,Plant materials,0
Cricotopus sp II,Plant materials,0
Cristaperla,Plant materials,0
Deleatidium,Plant materials,0
Eriopterini,Plant materials,0
Eye forward chiron,Plant materials,0
Helicopsyche,Plant materials,0
Hudsonema aliena,Plant materials,0
Hudsonema amabilis,Plant materials,0
Hydora nitida (ad),Plant materials,0
Hydora nitida (l),Plant materials,0
Hydrobiosella stenocerca,Plant materials,0
Hydrobiosis parumbripennis,Plant materials,0
Mischoderus,Plant materials,0
Nannochorista phillpotti,Plant materials,0
Neozephlebia scita,Plant materials,0
Oligo II,Plant materials,0
Oligo Lumbri pink,Plant materials,0
Oligo skinny,Plant materials,0
Paracalliope fluviatalus,Plant materials,0
Paracalliope pale,Plant materials,0
Paralimnophila skuseii,Plant materials,0
Paucispinigera approximata,Plant materials,0
Polypedellum,Plant materials,0
Polypedellum II,Plant materials,0
Polyplectropus,Plant materials,0
Scirtid,Plant materials,0
Sphaerid,Plant materials,0
Stenoperla prasinia,Plant materials,0
Stictocladius,Plant materials,0
Zelandobius,Plant materials,0
Zelandoperla,Plant materials,0
Zelandotipula,Plant materials,0
Anguilla dieffenbachii,Plant materials,0
Unidentified detritus,Meiofauna,0
Terrestrial invertebrates,Meiofauna,0
Plant materials,Meiofauna,0
Meiofauna,Meiofauna,0
Achnanthes inflata,Meiofauna,0
Achnanthes lanceolata,Meiofauna,0
Achnanthes linearis,Meiofauna,0
Achnanthes minutissima,Meiofauna,0
Ankitodesmus sp.,Meiofauna,0
Batrachospermum,Meiofauna,0
Blue-green algae,Meiofauna,0
Calothrix,Meiofauna,0
Cocconeis placentula,Meiofauna,0
Cymbella kappi,Meiofauna,0
Cymbella kappii,Meiofauna,0
Cymbella mulleri,Meiofauna,0
Diatoma heimale,Meiofauna,0
Epithemia sorex,Meiofauna,0
Eunotia pectinalis,Meiofauna,0
Fragilaria vaucheriae,Meiofauna,0
Frustulia rhomboides,Meiofauna,0
Gomphoneis herculeana,Meiofauna,0
Gomphonema accuminatum,Meiofauna,0
Gomphonema angustatum,Meiofauna,0
Gomphonema intricatum,Meiofauna,0
Gomphonema parvulum,Meiofauna,0
Gomphonema sp. III,Meiofauna,0
Gomphonema sp. unk,Meiofauna,0
Gomphonema truncatum,Meiofauna,0
Green algae,Meiofauna,0
Gyrosigma,Meiofauna,0
Melosira varians,Meiofauna,0
Navicula avenacea,Meiofauna,0
Navicula rhynocephala,Meiofauna,0
Nitzschia dissipata,Meiofauna,0
Nitzschia dubia,Meiofauna,0
Nitzschia linearis,Meiofauna,0
Pinnularia spp.,Meiofauna,0
Rhoicosphenia curvata,Meiofauna,0
Staurostratum,Meiofauna,0
Surirella elegans,Meiofauna,0
Synedra ulna,Meiofauna,0
Tabellaria flocculosa,Meiofauna,0
Ulothrix,Meiofauna,0
Ameletopsis perscitus,Meiofauna,0
Aoteapsyche,Meiofauna,0
Austroperla cyrene,Meiofauna,0
Austrosimulium,Meiofauna,0
Chironomini,Meiofauna,0
Coloburiscus,Meiofauna,0
Costachorema,Meiofauna,0
Cricotopus sp I,Meiofauna,0
Cricotopus sp II,Meiofauna,0
Cristaperla,Meiofauna,0
Deleatidium,Meiofauna,0
Eriopterini,Meiofauna,0
Eye forward chiron,Meiofauna,0
Helicopsyche,Meiofauna,0
Hudsonema aliena,Meiofauna,0
Hudsonema amabilis,Meiofauna,0
Hydora nitida (ad),Meiofauna,0
Hydora nitida (l),Meiofauna,0
Hydrobiosella stenocerca,Meiofauna,0
Hydrobiosis parumbripennis,Meiofauna,0
Mischoderus,Meiofauna,0
Nannochorista phillpotti,Meiofauna,0
Neozephlebia scita,Meiofauna,0
Oligo II,Meiofauna,0
Oligo Lumbri pink,Meiofauna,0
Oligo skinny,Meiofauna,0
Paracalliope fluviatalus,Meiofauna,0
Paracalliope pale,Meiofauna,0
Paralimnophila skuseii,Meiofauna,0
Paucispinigera approximata,Meiofauna,0
Polypedellum,Meiofauna,0
Polypedellum II,Meiofauna,0
Polyplectropus,Meiofauna,0
Scirtid,Meiofauna,0
Sphaerid,Meiofauna,0
Stenoperla prasinia,Meiofauna,0
Stictocladius,Meiofauna,0
Zelandobius,Meiofauna,0
Zelandoperla,Meiofauna,0
Zelandotipula,Meiofauna,0
Anguilla dieffenbachii,Meiofauna,0
Unidentified detritus,Achnanthes inflata,0
Terrestrial invertebrates,Achnanthes inflata,0
Plant materials,Achnanthes inflata,0
Meiofauna,Achnanthes inflata,0
Achnanthes inflata,Achnanthes inflata,0
Achnanthes lanceolata,Achnanthes inflata,0
Achnanthes linearis,Achnanthes inflata,0
Achnanthes minutissima,Achnanthes inflata,0
Ankitodesmus sp.,Achnanthes inflata,0
Batrachospermum,Achnanthes inflata,0
Blue-green algae,Achnanthes inflata,0
Calothrix,Achnanthes inflata,0
Cocconeis placentula,Achnanthes inflata,0
Cymbella kappi,Achnanthes inflata,0
Cymbella kappii,Achnanthes inflata,0
Cymbella mulleri,Achnanthes inflata,0
Diatoma heimale,Achnanthes inflata,0
Epithemia sorex,Achnanthes inflata,0
Eunotia pectinalis,Achnanthes inflata,0
Fragilaria vaucheriae,Achnanthes inflata,0
Frustulia rhomboides,Achnanthes inflata,0
