source,target,weight
Unidentified detritus,Unidentified detritus,0
Plant material,Unidentified detritus,0
Terrestrial invertebrates,Unidentified detritus,0
Achnanthes inflata,Unidentified detritus,0
Achnanthes lanceolata,Unidentified detritus,0
Achnanthes linearis,Unidentified detritus,0
Achnanthes minutissima,Unidentified detritus,0
Blue green algae,Unidentified detritus,0
Calothrix,Unidentified detritus,0
Cocconeis placentula,Unidentified detritus,0
Cymbella aspera,Unidentified detritus,0
Cymbella kappi,Unidentified detritus,0
Eunotia pectinalis,Unidentified detritus,0
Frustulia rhomboides,Unidentified detritus,0
Gomphoneis herculeana,Unidentified detritus,0
Gomphonema angustatum,Unidentified detritus,0
Gomphonema truncatum,Unidentified detritus,0
Melosira varians,Unidentified detritus,0
Navicula avenacea,Unidentified detritus,0
Pinnularia divergens,Unidentified detritus,0
Pinnularia gibba,Unidentified detritus,0
Pinnularia sp.,Unidentified detritus,0
Pinnularia viridis,Unidentified detritus,0
Rhoicosphenia curvata,Unidentified detritus,0
Surirella elegans,Unidentified detritus,0
Surirella striatula,Unidentified detritus,0
Synedra rumpens,Unidentified detritus,0
Tabellaria flocculosa,Unidentified detritus,0
Unknown green algal cells,Unidentified detritus,0
Ameletopsis perscitus,Unidentified detritus,0
Aspectrotanypus,Unidentified detritus,0
Austroperla cyrene,Unidentified detritus,0
Coloburiscus humeralis,Unidentified detritus,0
Cricotopus II,Unidentified detritus,0
Cristaperla,Unidentified detritus,0
Deleatidium,Unidentified detritus,0
Eriopterini,Unidentified detritus,0
Eukiefiriella,Unidentified detritus,0
Forcipomyiinae,Unidentified detritus,0
Hydora adult,Unidentified detritus,0
Hydora nitida l,Unidentified detritus,0
Hydrobiosella stenocerca,Unidentified detritus,0
Larsia sp.,Unidentified detritus,0
Naonella,Unidentified detritus,0
Oligochaeta I  ,Unidentified detritus,0
Oligochaeta II,Unidentified detritus,0
Oligochaeta lumbr blue,Unidentified detritus,0
Paracalliope fluviatalus,Unidentified detritus,0
Paralimnophila,Unidentified detritus,0
Patatanytarsus nr grimmi,Unidentified detritus,0
Paucispinigera approximata,Unidentified detritus,0
Polypedellum green type,Unidentified detritus,0
Stenoperla prasinia,Unidentified detritus,0
Stictoclcaius,Unidentified detritus,0
Tanytarsus spp.,Unidentified detritus,0
Tanytarsus verspertinus,Unidentified detritus,0
Zelanoperla,Unidentified detritus,0
Crayfish,Unidentified detritus,0
Unidentified detritus,Plant material,0
Plant material,Plant material,0
Terrestrial invertebrates,Plant material,0
Achnanthes inflata,Plant material,0
Achnanthes lanceolata,Plant material,0
Achnanthes linearis,Plant material,0
Achnanthes minutissima,Plant material,0
Blue green algae,Plant material,0
Calothrix,Plant material,0
Cocconeis placentula,Plant material,0
Cymbella aspera,Plant material,0
Cymbella kappi,Plant material,0
Eunotia pectinalis,Plant material,0
Frustulia rhomboides,Plant material,0
Gomphoneis herculeana,Plant material,0
Gomphonema angustatum,Plant material,0
Gomphonema truncatum,Plant material,0
Melosira varians,Plant material,0
Navicula avenacea,Plant material,0
Pinnularia divergens,Plant material,0
Pinnularia gibba,Plant material,0
Pinnularia sp.,Plant material,0
Pinnularia viridis,Plant material,0
Rhoicosphenia curvata,Plant material,0
Surirella elegans,Plant material,0
Surirella striatula,Plant material,0
Synedra rumpens,Plant material,0
Tabellaria flocculosa,Plant material,0
Unknown green algal cells,Plant material,0
Ameletopsis perscitus,Plant material,0
Aspectrotanypus,Plant material,0
Austroperla cyrene,Plant material,0
Coloburiscus humeralis,Plant material,0
Cricotopus II,Plant material,0
Cristaperla,Plant material,0
Deleatidium,Plant material,0
Eriopterini,Plant material,0
Eukiefiriella,Plant material,0
Forcipomyiinae,Plant material,0
Hydora adult,Plant material,0
Hydora nitida l,Plant material,0
Hydrobiosella stenocerca,Plant material,0
Larsia sp.,Plant material,0
Naonella,Plant material,0
Oligochaeta I  ,Plant material,0
Oligochaeta II,Plant material,0
Oligochaeta lumbr blue,Plant material,0
Paracalliope fluviatalus,Plant material,0
Paralimnophila,Plant material,0
Patatanytarsus nr grimmi,Plant material,0
Paucispinigera approximata,Plant material,0
Polypedellum green type,Plant material,0
Stenoperla prasinia,Plant material,0
Stictoclcaius,Plant material,0
Tanytarsus spp.,Plant material,0
Tanytarsus verspertinus,Plant material,0
Zelanoperla,Plant material,0
Crayfish,Plant material,0
Unidentified detritus,Terrestrial invertebrates ,0
Plant material,Terrestrial invertebrates ,0
Terrestrial invertebrates,Terrestrial invertebrates ,0
Achnanthes inflata,Terrestrial invertebrates ,0
Achnanthes lanceolata,Terrestrial invertebrates ,0
Achnanthes linearis,Terrestrial invertebrates ,0
Achnanthes minutissima,Terrestrial invertebrates ,0
Blue green algae,Terrestrial invertebrates ,0
Calothrix,Terrestrial invertebrates ,0
Cocconeis placentula,Terrestrial invertebrates ,0
Cymbella aspera,Terrestrial invertebrates ,0
Cymbella kappi,Terrestrial invertebrates ,0
Eunotia pectinalis,Terrestrial invertebrates ,0
Frustulia rhomboides,Terrestrial invertebrates ,0
Gomphoneis herculeana,Terrestrial invertebrates ,0
Gomphonema angustatum,Terrestrial invertebrates ,0
Gomphonema truncatum,Terrestrial invertebrates ,0
Melosira varians,Terrestrial invertebrates ,0
Navicula avenacea,Terrestrial invertebrates ,0
Pinnularia divergens,Terrestrial invertebrates ,0
Pinnularia gibba,Terrestrial invertebrates ,0
Pinnularia sp.,Terrestrial invertebrates ,0
Pinnularia viridis,Terrestrial invertebrates ,0
Rhoicosphenia curvata,Terrestrial invertebrates ,0
Surirella elegans,Terrestrial invertebrates ,0
Surirella striatula,Terrestrial invertebrates ,0
Synedra rumpens,Terrestrial invertebrates ,0
Tabellaria flocculosa,Terrestrial invertebrates ,0
Unknown green algal cells,Terrestrial invertebrates ,0
Ameletopsis perscitus,Terrestrial invertebrates ,0
Aspectrotanypus,Terrestrial invertebrates ,0
Austroperla cyrene,Terrestrial invertebrates ,0
Coloburiscus humeralis,Terrestrial invertebrates ,0
Cricotopus II,Terrestrial invertebrates ,0
Cristaperla,Terrestrial invertebrates ,0
Deleatidium,Terrestrial invertebrates ,0
Eriopterini,Terrestrial invertebrates ,0
Eukiefiriella,Terrestrial invertebrates ,0
Forcipomyiinae,Terrestrial invertebrates ,0
Hydora adult,Terrestrial invertebrates ,0
Hydora nitida l,Terrestrial invertebrates ,0
Hydrobiosella stenocerca,Terrestrial invertebrates ,0
Larsia sp.,Terrestrial invertebrates ,0
Naonella,Terrestrial invertebrates ,0
Oligochaeta I  ,Terrestrial invertebrates ,0
Oligochaeta II,Terrestrial invertebrates ,0
Oligochaeta lumbr blue,Terrestrial invertebrates ,0
Paracalliope fluviatalus,Terrestrial invertebrates ,0
Paralimnophila,Terrestrial invertebrates ,0
Patatanytarsus nr grimmi,Terrestrial invertebrates ,0
Paucispinigera approximata,Terrestrial invertebrates ,0
Polypedellum green type,Terrestrial invertebrates ,0
Stenoperla prasinia,Terrestrial invertebrates ,0
Stictoclcaius,Terrestrial invertebrates ,0
Tanytarsus spp.,Terrestrial invertebrates ,0
Tanytarsus verspertinus,Terrestrial invertebrates ,0
Zelanoperla,Terrestrial invertebrates ,0
Crayfish,Terrestrial invertebrates ,0
Unidentified detritus,Achnanthes inflata,0
Plant material,Achnanthes inflata,0
Terrestrial invertebrates,Achnanthes inflata,0
Achnanthes inflata,Achnanthes inflata,0
Achnanthes lanceolata,Achnanthes inflata,0
Achnanthes linearis,Achnanthes inflata,0
Achnanthes minutissima,Achnanthes inflata,0
Blue green algae,Achnanthes inflata,0
Calothrix,Achnanthes inflata,0
Cocconeis placentula,Achnanthes inflata,0
Cymbella aspera,Achnanthes inflata,0
Cymbella kappi,Achnanthes inflata,0
Eunotia pectinalis,Achnanthes inflata,0
Frustulia rhomboides,Achnanthes inflata,0
Gomphoneis herculeana,Achnanthes inflata,0
Gomphonema angustatum,Achnanthes inflata,0
Gomphonema truncatum,Achnanthes inflata,0
Melosira varians,Achnanthes inflata,0
Navicula avenacea,Achnanthes inflata,0
Pinnularia divergens,Achnanthes inflata,0
Pinnularia gibba,Achnanthes inflata,0
Pinnularia sp.,Achnanthes inflata,0
Pinnularia viridis,Achnanthes inflata,0
Rhoicosphenia curvata,Achnanthes inflata,0
Surirella elegans,Achnanthes inflata,0
Surirella striatula,Achnanthes inflata,0
Synedra rumpens,Achnanthes inflata,0
Tabellaria flocculosa,Achnanthes inflata,0
Unknown green algal cells,Achnanthes inflata,0
Ameletopsis perscitus,Achnanthes inflata,0
Aspectrotanypus,Achnanthes inflata,0
Austroperla cyrene,Achnanthes inflata,0
Coloburiscus humeralis,Achnanthes inflata,0
Cricotopus II,Achnanthes inflata,0
Cristaperla,Achnanthes inflata,0
Deleatidium,Achnanthes inflata,0
Eriopterini,Achnanthes inflata,0
Eukiefiriella,Achnanthes inflata,0
Forcipomyiinae,Achnanthes inflata,0
Hydora adult,Achnanthes inflata,0
Hydora nitida l,Achnanthes inflata,0
Hydrobiosella stenocerca,Achnanthes inflata,0
Larsia sp.,Achnanthes inflata,0
Naonella,Achnanthes inflata,0
Oligochaeta I  ,Achnanthes inflata,0
Oligochaeta II,Achnanthes inflata,0
Oligochaeta lumbr blue,Achnanthes inflata,0
Paracalliope fluviatalus,Achnanthes inflata,0
Paralimnophila,Achnanthes inflata,0
Patatanytarsus nr grimmi,Achnanthes inflata,0
Paucispinigera approximata,Achnanthes inflata,0
Polypedellum green type,Achnanthes inflata,0
Stenoperla prasinia,Achnanthes inflata,0
Stictoclcaius,Achnanthes inflata,0
Tanytarsus spp.,Achnanthes inflata,0
Tanytarsus verspertinus,Achnanthes inflata,0
Zelanoperla,Achnanthes inflata,0
Crayfish,Achnanthes inflata,0
Unidentified detritus,Achnanthes lanceolata,0
Plant material,Achnanthes lanceolata,0
Terrestrial invertebrates,Achnanthes lanceolata,0
Achnanthes inflata,Achnanthes lanceolata,0
Achnanthes lanceolata,Achnanthes lanceolata,0
Achnanthes linearis,Achnanthes lanceolata,0
Achnanthes minutissima,Achnanthes lanceolata,0
Blue green algae,Achnanthes lanceolata,0
Calothrix,Achnanthes lanceolata,0
Cocconeis placentula,Achnanthes lanceolata,0
Cymbella aspera,Achnanthes lanceolata,0
Cymbella kappi,Achnanthes lanceolata,0
Eunotia pectinalis,Achnanthes lanceolata,0
Frustulia rhomboides,Achnanthes lanceolata,0
Gomphoneis herculeana,Achnanthes lanceolata,0
Gomphonema angustatum,Achnanthes lanceolata,0
Gomphonema truncatum,Achnanthes lanceolata,0
Melosira varians,Achnanthes lanceolata,0
Navicula avenacea,Achnanthes lanceolata,0
Pinnularia divergens,Achnanthes lanceolata,0
Pinnularia gibba,Achnanthes lanceolata,0
Pinnularia sp.,Achnanthes lanceolata,0
Pinnularia viridis,Achnanthes lanceolata,0
Rhoicosphenia curvata,Achnanthes lanceolata,0
Surirella elegans,Achnanthes lanceolata,0
Surirella striatula,Achnanthes lanceolata,0
Synedra rumpens,Achnanthes lanceolata,0
Tabellaria flocculosa,Achnanthes lanceolata,0
Unknown green algal cells,Achnanthes lanceolata,0
Ameletopsis perscitus,Achnanthes lanceolata,0
Aspectrotanypus,Achnanthes lanceolata,0
Austroperla cyrene,Achnanthes lanceolata,0
Coloburiscus humeralis,Achnanthes lanceolata,0
Cricotopus II,Achnanthes lanceolata,0
Cristaperla,Achnanthes lanceolata,0
Deleatidium,Achnanthes lanceolata,0
Eriopterini,Achnanthes lanceolata,0
Eukiefiriella,Achnanthes lanceolata,0
Forcipomyiinae,Achnanthes lanceolata,0
Hydora adult,Achnanthes lanceolata,0
Hydora nitida l,Achnanthes lanceolata,0
Hydrobiosella stenocerca,Achnanthes lanceolata,0
Larsia sp.,Achnanthes lanceolata,0
Naonella,Achnanthes lanceolata,0
Oligochaeta I  ,Achnanthes lanceolata,0
Oligochaeta II,Achnanthes lanceolata,0
Oligochaeta lumbr blue,Achnanthes lanceolata,0
Paracalliope fluviatalus,Achnanthes lanceolata,0
Paralimnophila,Achnanthes lanceolata,0
Patatanytarsus nr grimmi,Achnanthes lanceolata,0
Paucispinigera approximata,Achnanthes lanceolata,0
Polypedellum green type,Achnanthes lanceolata,0
Stenoperla prasinia,Achnanthes lanceolata,0
Stictoclcaius,Achnanthes lanceolata,0
Tanytarsus spp.,Achnanthes lanceolata,0
Tanytarsus verspertinus,Achnanthes lanceolata,0
Zelanoperla,Achnanthes lanceolata,0
Crayfish,Achnanthes lanceolata,0
Unidentified detritus,Achnanthes linearis,0
Plant material,Achnanthes linearis,0
Terrestrial invertebrates,Achnanthes linearis,0
Achnanthes inflata,Achnanthes linearis,0
Achnanthes lanceolata,Achnanthes linearis,0
Achnanthes linearis,Achnanthes linearis,0
Achnanthes minutissima,Achnanthes linearis,0
Blue green algae,Achnanthes linearis,0
Calothrix,Achnanthes linearis,0
Cocconeis placentula,Achnanthes linearis,0
Cymbella aspera,Achnanthes linearis,0
Cymbella kappi,Achnanthes linearis,0
Eunotia pectinalis,Achnanthes linearis,0
