source,target,weight
Terrestrial invertebrate remains,Terrestrial invertebrate remains,0.0
Terrestrial plant material,Terrestrial invertebrate remains,0.0
Unidentified organic detritus,Terrestrial invertebrate remains,0.0
Achnanthes lanceolata,Terrestrial invertebrate remains,0.0
Cocconeis placentual,Terrestrial invertebrate remains,0.0
Cymbella aspera,Terrestrial invertebrate remains,0.0
Epithemis turgida,Terrestrial invertebrate remains,0.0
Fragilaria vaucheriae,Terrestrial invertebrate remains,0.0
Frustulia rhomboides,Terrestrial invertebrate remains,0.0
Gomphoneis herculeana var. robusta,Terrestrial invertebrate remains,0.0
Gomphonema angustatum,Terrestrial invertebrate remains,0.0
Gomphonema parvulum,Terrestrial invertebrate remains,0.0
Gomphonema sp. II,Terrestrial invertebrate remains,0.0
Gomphonema subclavatum,Terrestrial invertebrate remains,0.0
Gomphonema truncatum,Terrestrial invertebrate remains,0.0
Melosira granulata,Terrestrial invertebrate remains,0.0
Navicula avenacea,Terrestrial invertebrate remains,0.0
Navicula placentula,Terrestrial invertebrate remains,0.0
Nitzschia linearis,Terrestrial invertebrate remains,0.0
Pinnularia borealis,Terrestrial invertebrate remains,0.0
Rhoicosphenia curvata,Terrestrial invertebrate remains,0.0
Surirella elegans,Terrestrial invertebrate remains,0.0
Synedra rumpens,Terrestrial invertebrate remains,0.0
Synedra ulna,Terrestrial invertebrate remains,0.0
Tabellaria flocculosa,Terrestrial invertebrate remains,0.0
Batrachospermum spp.,Terrestrial invertebrate remains,0.0
Blue-green algae,Terrestrial invertebrate remains,0.0
Cyclotella sp.,Terrestrial invertebrate remains,0.0
Oedogonium spp.,Terrestrial invertebrate remains,0.0
Ulothrix spp.,Terrestrial invertebrate remains,0.0
Unknown green algae,Terrestrial invertebrate remains,0.0
Ameletopsis perscitus,Terrestrial invertebrate remains,0.0
Amphipoda type 'purple',Terrestrial invertebrate remains,0.0
Aoteapsyche raruraru,Terrestrial invertebrate remains,0.0
Aphrophila neozelandicus,Terrestrial invertebrate remains,0.0
Austroperla cyrene,Terrestrial invertebrate remains,0.0
Austrosimulium australense,Terrestrial invertebrate remains,0.0
Coloburiscus humeralis,Terrestrial invertebrate remains,0.0
Cricotopus sp. Type 'pale',Terrestrial invertebrate remains,0.0
Cristaperla fimbria,Terrestrial invertebrate remains,0.0
Deleatidum lilli,Terrestrial invertebrate remains,0.0
Eukieflidriella brundini,Terrestrial invertebrate remains,0.0
Hudsonema amabilis,Terrestrial invertebrate remains,0.0
Hydora nitida,Terrestrial invertebrate remains,0.0
Hydraena homolaena,Terrestrial invertebrate remains,0.0
Hydrobiosella stenocerca,Terrestrial invertebrate remains,0.0
Hydrobiosis sp.,Terrestrial invertebrate remains,0.0
Hydrophilidae,Terrestrial invertebrate remains,0.0
Isopoda,Terrestrial invertebrate remains,0.0
Lumbriculiid type 'II',Terrestrial invertebrate remains,0.0
Maoridiamesia sp.,Terrestrial invertebrate remains,0.0
Megaleptoperla grandis,Terrestrial invertebrate remains,0.0
Naonella forsythii,Terrestrial invertebrate remains,0.0
Paracalliope fluviatalus,Terrestrial invertebrate remains,0.0
Podaena sp.,Terrestrial invertebrate remains,0.0
Potamopyrgus antipodarum,Terrestrial invertebrate remains,0.0
Pycnocentria evecta,Terrestrial invertebrate remains,0.0
Rhabdomastrix sp.,Terrestrial invertebrate remains,0.0
Scirtidae type 'broad',Terrestrial invertebrate remains,0.0
Stenoperla prasinia,Terrestrial invertebrate remains,0.0
Stictocladius sp.,Terrestrial invertebrate remains,0.0
Tanypodini sp.,Terrestrial invertebrate remains,0.0
Tanytarsini sp.,Terrestrial invertebrate remains,0.0
Tiphobiosis montana,Terrestrial invertebrate remains,0.0
Zelandobius confusus,Terrestrial invertebrate remains,0.0
Zelandoperla fenestrata,Terrestrial invertebrate remains,0.0
Paranephrops zelandicus,Terrestrial invertebrate remains,0.0
Salmo trutta,Terrestrial invertebrate remains,0.0
Galaxias brevipennis,Terrestrial invertebrate remains,0.0
Terrestrial invertebrate remains,Terrestrial plant material,0.0
Terrestrial plant material,Terrestrial plant material,0.0
Unidentified organic detritus,Terrestrial plant material,0.0
Achnanthes lanceolata,Terrestrial plant material,0.0
Cocconeis placentual,Terrestrial plant material,0.0
Cymbella aspera,Terrestrial plant material,0.0
Epithemis turgida,Terrestrial plant material,0.0
Fragilaria vaucheriae,Terrestrial plant material,0.0
Frustulia rhomboides,Terrestrial plant material,0.0
Gomphoneis herculeana var. robusta,Terrestrial plant material,0.0
Gomphonema angustatum,Terrestrial plant material,0.0
Gomphonema parvulum,Terrestrial plant material,0.0
Gomphonema sp. II,Terrestrial plant material,0.0
Gomphonema subclavatum,Terrestrial plant material,0.0
Gomphonema truncatum,Terrestrial plant material,0.0
Melosira granulata,Terrestrial plant material,0.0
Navicula avenacea,Terrestrial plant material,0.0
Navicula placentula,Terrestrial plant material,0.0
Nitzschia linearis,Terrestrial plant material,0.0
Pinnularia borealis,Terrestrial plant material,0.0
Rhoicosphenia curvata,Terrestrial plant material,0.0
Surirella elegans,Terrestrial plant material,0.0
Synedra rumpens,Terrestrial plant material,0.0
Synedra ulna,Terrestrial plant material,0.0
Tabellaria flocculosa,Terrestrial plant material,0.0
Batrachospermum spp.,Terrestrial plant material,0.0
Blue-green algae,Terrestrial plant material,0.0
Cyclotella sp.,Terrestrial plant material,0.0
Oedogonium spp.,Terrestrial plant material,0.0
Ulothrix spp.,Terrestrial plant material,0.0
Unknown green algae,Terrestrial plant material,0.0
Ameletopsis perscitus,Terrestrial plant material,0.0
Amphipoda type 'purple',Terrestrial plant material,0.0
Aoteapsyche raruraru,Terrestrial plant material,0.0
Aphrophila neozelandicus,Terrestrial plant material,0.0
Austroperla cyrene,Terrestrial plant material,0.0
Austrosimulium australense,Terrestrial plant material,0.0
Coloburiscus humeralis,Terrestrial plant material,0.0
Cricotopus sp. Type 'pale',Terrestrial plant material,0.0
Cristaperla fimbria,Terrestrial plant material,0.0
Deleatidum lilli,Terrestrial plant material,0.0
Eukieflidriella brundini,Terrestrial plant material,0.0
Hudsonema amabilis,Terrestrial plant material,0.0
Hydora nitida,Terrestrial plant material,0.0
Hydraena homolaena,Terrestrial plant material,0.0
Hydrobiosella stenocerca,Terrestrial plant material,0.0
Hydrobiosis sp.,Terrestrial plant material,0.0
Hydrophilidae,Terrestrial plant material,0.0
Isopoda,Terrestrial plant material,0.0
Lumbriculiid type 'II',Terrestrial plant material,0.0
Maoridiamesia sp.,Terrestrial plant material,0.0
Megaleptoperla grandis,Terrestrial plant material,0.0
Naonella forsythii,Terrestrial plant material,0.0
Paracalliope fluviatalus,Terrestrial plant material,0.0
Podaena sp.,Terrestrial plant material,0.0
Potamopyrgus antipodarum,Terrestrial plant material,0.0
Pycnocentria evecta,Terrestrial plant material,0.0
Rhabdomastrix sp.,Terrestrial plant material,0.0
Scirtidae type 'broad',Terrestrial plant material,0.0
Stenoperla prasinia,Terrestrial plant material,0.0
Stictocladius sp.,Terrestrial plant material,0.0
Tanypodini sp.,Terrestrial plant material,0.0
Tanytarsini sp.,Terrestrial plant material,0.0
Tiphobiosis montana,Terrestrial plant material,0.0
Zelandobius confusus,Terrestrial plant material,0.0
Zelandoperla fenestrata,Terrestrial plant material,0.0
Paranephrops zelandicus,Terrestrial plant material,0.0
Salmo trutta,Terrestrial plant material,0.0
Galaxias brevipennis,Terrestrial plant material,0.0
Terrestrial invertebrate remains,Unidentified organic detritus,0.0
Terrestrial plant material,Unidentified organic detritus,0.0
Unidentified organic detritus,Unidentified organic detritus,0.0
Achnanthes lanceolata,Unidentified organic detritus,0.0
Cocconeis placentual,Unidentified organic detritus,0.0
Cymbella aspera,Unidentified organic detritus,0.0
Epithemis turgida,Unidentified organic detritus,0.0
Fragilaria vaucheriae,Unidentified organic detritus,0.0
Frustulia rhomboides,Unidentified organic detritus,0.0
Gomphoneis herculeana var. robusta,Unidentified organic detritus,0.0
Gomphonema angustatum,Unidentified organic detritus,0.0
Gomphonema parvulum,Unidentified organic detritus,0.0
Gomphonema sp. II,Unidentified organic detritus,0.0
Gomphonema subclavatum,Unidentified organic detritus,0.0
Gomphonema truncatum,Unidentified organic detritus,0.0
Melosira granulata,Unidentified organic detritus,0.0
Navicula avenacea,Unidentified organic detritus,0.0
Navicula placentula,Unidentified organic detritus,0.0
Nitzschia linearis,Unidentified organic detritus,0.0
Pinnularia borealis,Unidentified organic detritus,0.0
Rhoicosphenia curvata,Unidentified organic detritus,0.0
Surirella elegans,Unidentified organic detritus,0.0
Synedra rumpens,Unidentified organic detritus,0.0
Synedra ulna,Unidentified organic detritus,0.0
Tabellaria flocculosa,Unidentified organic detritus,0.0
Batrachospermum spp.,Unidentified organic detritus,0.0
Blue-green algae,Unidentified organic detritus,0.0
Cyclotella sp.,Unidentified organic detritus,0.0
Oedogonium spp.,Unidentified organic detritus,0.0
Ulothrix spp.,Unidentified organic detritus,0.0
Unknown green algae,Unidentified organic detritus,0.0
Ameletopsis perscitus,Unidentified organic detritus,0.0
Amphipoda type 'purple',Unidentified organic detritus,0.0
Aoteapsyche raruraru,Unidentified organic detritus,0.0
Aphrophila neozelandicus,Unidentified organic detritus,0.0
Austroperla cyrene,Unidentified organic detritus,0.0
Austrosimulium australense,Unidentified organic detritus,0.0
Coloburiscus humeralis,Unidentified organic detritus,0.0
Cricotopus sp. Type 'pale',Unidentified organic detritus,0.0
Cristaperla fimbria,Unidentified organic detritus,0.0
Deleatidum lilli,Unidentified organic detritus,0.0
Eukieflidriella brundini,Unidentified organic detritus,0.0
Hudsonema amabilis,Unidentified organic detritus,0.0
Hydora nitida,Unidentified organic detritus,0.0
Hydraena homolaena,Unidentified organic detritus,0.0
Hydrobiosella stenocerca,Unidentified organic detritus,0.0
Hydrobiosis sp.,Unidentified organic detritus,0.0
Hydrophilidae,Unidentified organic detritus,0.0
Isopoda,Unidentified organic detritus,0.0
Lumbriculiid type 'II',Unidentified organic detritus,0.0
Maoridiamesia sp.,Unidentified organic detritus,0.0
Megaleptoperla grandis,Unidentified organic detritus,0.0
Naonella forsythii,Unidentified organic detritus,0.0
Paracalliope fluviatalus,Unidentified organic detritus,0.0
Podaena sp.,Unidentified organic detritus,0.0
Potamopyrgus antipodarum,Unidentified organic detritus,0.0
Pycnocentria evecta,Unidentified organic detritus,0.0
Rhabdomastrix sp.,Unidentified organic detritus,0.0
Scirtidae type 'broad',Unidentified organic detritus,0.0
Stenoperla prasinia,Unidentified organic detritus,0.0
Stictocladius sp.,Unidentified organic detritus,0.0
Tanypodini sp.,Unidentified organic detritus,0.0
Tanytarsini sp.,Unidentified organic detritus,0.0
Tiphobiosis montana,Unidentified organic detritus,0.0
Zelandobius confusus,Unidentified organic detritus,0.0
Zelandoperla fenestrata,Unidentified organic detritus,0.0
Paranephrops zelandicus,Unidentified organic detritus,0.0
Salmo trutta,Unidentified organic detritus,0.0
Galaxias brevipennis,Unidentified organic detritus,0.0
Terrestrial invertebrate remains,Achnanthes lanceolata,0.0
Terrestrial plant material,Achnanthes lanceolata,0.0
Unidentified organic detritus,Achnanthes lanceolata,0.0
Achnanthes lanceolata,Achnanthes lanceolata,0.0
Cocconeis placentual,Achnanthes lanceolata,0.0
Cymbella aspera,Achnanthes lanceolata,0.0
Epithemis turgida,Achnanthes lanceolata,0.0
Fragilaria vaucheriae,Achnanthes lanceolata,0.0
Frustulia rhomboides,Achnanthes lanceolata,0.0
Gomphoneis herculeana var. robusta,Achnanthes lanceolata,0.0
Gomphonema angustatum,Achnanthes lanceolata,0.0
Gomphonema parvulum,Achnanthes lanceolata,0.0
Gomphonema sp. II,Achnanthes lanceolata,0.0
Gomphonema subclavatum,Achnanthes lanceolata,0.0
Gomphonema truncatum,Achnanthes lanceolata,0.0
Melosira granulata,Achnanthes lanceolata,0.0
Navicula avenacea,Achnanthes lanceolata,0.0
Navicula placentula,Achnanthes lanceolata,0.0
Nitzschia linearis,Achnanthes lanceolata,0.0
Pinnularia borealis,Achnanthes lanceolata,0.0
Rhoicosphenia curvata,Achnanthes lanceolata,0.0
Surirella elegans,Achnanthes lanceolata,0.0
Synedra rumpens,Achnanthes lanceolata,0.0
Synedra ulna,Achnanthes lanceolata,0.0
Tabellaria flocculosa,Achnanthes lanceolata,0.0
