source,target,weight
Host species,Unnamed: 1,Sample size
Catostomus catostomus,Unnamed: 1,6
Coregonus clupeaformis,Unnamed: 1,63
Cottus cognatus,Unnamed: 1,61
Esox lucius,Unnamed: 1,14
Prosopium cylindraceum,Unnamed: 1,57
Salvelinus namaycush,Unnamed: 1,61
Thymallus arcticus,Unnamed: 1,44
Host species,Parasite genus,No.
Catostomus catostomus,Parasite genus,1
Coregonus clupeaformis,Parasite genus,2
Cottus cognatus,Parasite genus,3
Esox lucius,Parasite genus,4
Prosopium cylindraceum,Parasite genus,5
Salvelinus namaycush,Parasite genus,6
Thymallus arcticus,Parasite genus,7
Host species,Anonchohaptor,1
Catostomus catostomus,Anonchohaptor,83.3
Coregonus clupeaformis,Anonchohaptor,0
Cottus cognatus,Anonchohaptor,0
Esox lucius,Anonchohaptor,0
Prosopium cylindraceum,Anonchohaptor,0
Salvelinus namaycush,Anonchohaptor,0
Thymallus arcticus,Anonchohaptor,0
Host species,Dactylogyrus,2
Catostomus catostomus,Dactylogyrus,0
Coregonus clupeaformis,Dactylogyrus,0
Cottus cognatus,Dactylogyrus,95.1
Esox lucius,Dactylogyrus,0
Prosopium cylindraceum,Dactylogyrus,0
Salvelinus namaycush,Dactylogyrus,0
Thymallus arcticus,Dactylogyrus,0
Host species,Discocotyle,3
Catostomus catostomus,Discocotyle,0
Coregonus clupeaformis,Discocotyle,79.4
Cottus cognatus,Discocotyle,0
Esox lucius,Discocotyle,0
Prosopium cylindraceum,Discocotyle,56.1
Salvelinus namaycush,Discocotyle,1.6
Thymallus arcticus,Discocotyle,20.5
Host species,Tetraonchus,4
Catostomus catostomus,Tetraonchus,0
Coregonus clupeaformis,Tetraonchus,0
Cottus cognatus,Tetraonchus,0
Esox lucius,Tetraonchus,0
Prosopium cylindraceum,Tetraonchus,0
Salvelinus namaycush,Tetraonchus,0
Thymallus arcticus,Tetraonchus,88.6
Host species,Tetraonchus.1,5
Catostomus catostomus,Tetraonchus.1,0
Coregonus clupeaformis,Tetraonchus.1,0
Cottus cognatus,Tetraonchus.1,0
Esox lucius,Tetraonchus.1,100
Prosopium cylindraceum,Tetraonchus.1,0
Salvelinus namaycush,Tetraonchus.1,0
Thymallus arcticus,Tetraonchus.1,0
Host species,Tetraonchus.2,6
Catostomus catostomus,Tetraonchus.2,0
Coregonus clupeaformis,Tetraonchus.2,0
Cottus cognatus,Tetraonchus.2,0
Esox lucius,Tetraonchus.2,0
Prosopium cylindraceum,Tetraonchus.2,54.4
Salvelinus namaycush,Tetraonchus.2,0
Thymallus arcticus,Tetraonchus.2,0
Host species,Allocreadium,7
Catostomus catostomus,Allocreadium,0
Coregonus clupeaformis,Allocreadium,0
Cottus cognatus,Allocreadium,0
Esox lucius,Allocreadium,7.1
Prosopium cylindraceum,Allocreadium,0
Salvelinus namaycush,Allocreadium,0
Thymallus arcticus,Allocreadium,95.5
Host species,Crepidostomum,8
Catostomus catostomus,Crepidostomum,0
Coregonus clupeaformis,Crepidostomum,42.9
Cottus cognatus,Crepidostomum,31.1
Esox lucius,Crepidostomum,7.1
Prosopium cylindraceum,Crepidostomum,86
Salvelinus namaycush,Crepidostomum,90.2
Thymallus arcticus,Crepidostomum,95.5
Host species,Diplostomum,9
Catostomus catostomus,Diplostomum,83.3
Coregonus clupeaformis,Diplostomum,96.8
Cottus cognatus,Diplostomum,98.4
Esox lucius,Diplostomum,7.1
Prosopium cylindraceum,Diplostomum,94.7
Salvelinus namaycush,Diplostomum,100
Thymallus arcticus,Diplostomum,86.4
Host species,Heterophyid,10
Catostomus catostomus,Heterophyid,0
Coregonus clupeaformis,Heterophyid,0
Cottus cognatus,Heterophyid,3.3
Esox lucius,Heterophyid,0
Prosopium cylindraceum,Heterophyid,0
Salvelinus namaycush,Heterophyid,0
Thymallus arcticus,Heterophyid,0
Host species,Neascus,11
Catostomus catostomus,Neascus,0
Coregonus clupeaformis,Neascus,0
Cottus cognatus,Neascus,91.8
Esox lucius,Neascus,0
Prosopium cylindraceum,Neascus,0
Salvelinus namaycush,Neascus,0
Thymallus arcticus,Neascus,0
Host species,Tetracotyle,12
Catostomus catostomus,Tetracotyle,0
Coregonus clupeaformis,Tetracotyle,84.1
Cottus cognatus,Tetracotyle,0
Esox lucius,Tetracotyle,0
Prosopium cylindraceum,Tetracotyle,73.7
