source,target,weight
Host species,Unnamed: 1,(see Leong & Holmes 1981)
Coregonus artedii,Unnamed: 1,12.5
Coregonus clupeaformis,Unnamed: 1,2.85
Salvelinus namaycush,Unnamed: 1,0.08
Oncorhynchus kisutch,Unnamed: 1,0.04
Esox lucius,Unnamed: 1,0.3
Catostomus catostomus,Unnamed: 1,0.55
Catostomus commersoni,Unnamed: 1,1.09
Lota lota,Unnamed: 1,0.06
Pungitius pungitius,Unnamed: 1,12.5
Stizostedion vitreum,Unnamed: 1,0.15
Host species,Unnamed: 2,Sample size
Coregonus artedii,Unnamed: 2,757
Coregonus clupeaformis,Unnamed: 2,836
Salvelinus namaycush,Unnamed: 2,35
Oncorhynchus kisutch,Unnamed: 2,291
Esox lucius,Unnamed: 2,62
Catostomus catostomus,Unnamed: 2,12
Catostomus commersoni,Unnamed: 2,36
Lota lota,Unnamed: 2,29
Pungitius pungitius,Unnamed: 2,1038
Stizostedion vitreum,Unnamed: 2,12
Host species,Parasite genus,No.
Coregonus artedii,Parasite genus,1
Coregonus clupeaformis,Parasite genus,2
Salvelinus namaycush,Parasite genus,3
Oncorhynchus kisutch,Parasite genus,4
Esox lucius,Parasite genus,5
Catostomus catostomus,Parasite genus,6
Catostomus commersoni,Parasite genus,7
Lota lota,Parasite genus,8
Pungitius pungitius,Parasite genus,9
Stizostedion vitreum,Parasite genus,10
Host species,Gyrodactylus,1
Coregonus artedii,Gyrodactylus,0
Coregonus clupeaformis,Gyrodactylus,0
Salvelinus namaycush,Gyrodactylus,0
Oncorhynchus kisutch,Gyrodactylus,0
Esox lucius,Gyrodactylus,0
Catostomus catostomus,Gyrodactylus,0
Catostomus commersoni,Gyrodactylus,0
Lota lota,Gyrodactylus,0
Pungitius pungitius,Gyrodactylus,59.1
Stizostedion vitreum,Gyrodactylus,0
Host species,Discocotyle,2
Coregonus artedii,Discocotyle,20.9
Coregonus clupeaformis,Discocotyle,65.3
Salvelinus namaycush,Discocotyle,0
Oncorhynchus kisutch,Discocotyle,0.3
Esox lucius,Discocotyle,0
Catostomus catostomus,Discocotyle,0
Catostomus commersoni,Discocotyle,0
Lota lota,Discocotyle,0
Pungitius pungitius,Discocotyle,0
Stizostedion vitreum,Discocotyle,0
Host species,Diplostomum,3
Coregonus artedii,Diplostomum,0
Coregonus clupeaformis,Diplostomum,1.4
Salvelinus namaycush,Diplostomum,5.7
Oncorhynchus kisutch,Diplostomum,0
Esox lucius,Diplostomum,0
Catostomus catostomus,Diplostomum,0
Catostomus commersoni,Diplostomum,0
Lota lota,Diplostomum,0
Pungitius pungitius,Diplostomum,74.7
Stizostedion vitreum,Diplostomum,0
Host species,Apatemon,4
Coregonus artedii,Apatemon,0
Coregonus clupeaformis,Apatemon,0
Salvelinus namaycush,Apatemon,0
Oncorhynchus kisutch,Apatemon,0
Esox lucius,Apatemon,0
Catostomus catostomus,Apatemon,0
Catostomus commersoni,Apatemon,0
Lota lota,Apatemon,0
Pungitius pungitius,Apatemon,11
Stizostedion vitreum,Apatemon,0
Host species,Cotylurus,5
Coregonus artedii,Cotylurus,1.1
Coregonus clupeaformis,Cotylurus,48.7
Salvelinus namaycush,Cotylurus,0
Oncorhynchus kisutch,Cotylurus,0
Esox lucius,Cotylurus,0
Catostomus catostomus,Cotylurus,0
Catostomus commersoni,Cotylurus,0
Lota lota,Cotylurus,0
Pungitius pungitius,Cotylurus,45.6
Stizostedion vitreum,Cotylurus,0
Host species,Lissorchis,6
Coregonus artedii,Lissorchis,0
Coregonus clupeaformis,Lissorchis,0
Salvelinus namaycush,Lissorchis,0
Oncorhynchus kisutch,Lissorchis,0
Esox lucius,Lissorchis,0
Catostomus catostomus,Lissorchis,0
Catostomus commersoni,Lissorchis,13.8
Lota lota,Lissorchis,0
Pungitius pungitius,Lissorchis,0
Stizostedion vitreum,Lissorchis,0
Host species,Bunodera,7
Coregonus artedii,Bunodera,0
Coregonus clupeaformis,Bunodera,0
Salvelinus namaycush,Bunodera,0
Oncorhynchus kisutch,Bunodera,0
Esox lucius,Bunodera,0
Catostomus catostomus,Bunodera,0
Catostomus commersoni,Bunodera,0
Lota lota,Bunodera,0
Pungitius pungitius,Bunodera,4.3
Stizostedion vitreum,Bunodera,0
Host species,Crepidostomum,8
Coregonus artedii,Crepidostomum,1.6
Coregonus clupeaformis,Crepidostomum,0.2
Salvelinus namaycush,Crepidostomum,0
Oncorhynchus kisutch,Crepidostomum,10.5
Esox lucius,Crepidostomum,0
Catostomus catostomus,Crepidostomum,0
Catostomus commersoni,Crepidostomum,0
Lota lota,Crepidostomum,0
Pungitius pungitius,Crepidostomum,0
Stizostedion vitreum,Crepidostomum,0
Host species,Phyllodistomum,9
Coregonus artedii,Phyllodistomum,0
Coregonus clupeaformis,Phyllodistomum,1.9
Salvelinus namaycush,Phyllodistomum,0
Oncorhynchus kisutch,Phyllodistomum,0
Esox lucius,Phyllodistomum,0
Catostomus catostomus,Phyllodistomum,0
Catostomus commersoni,Phyllodistomum,0
Lota lota,Phyllodistomum,0
Pungitius pungitius,Phyllodistomum,0
Stizostedion vitreum,Phyllodistomum,0
Host species,Glaridacris,10
Coregonus artedii,Glaridacris,0
Coregonus clupeaformis,Glaridacris,0
Salvelinus namaycush,Glaridacris,0
Oncorhynchus kisutch,Glaridacris,0
Esox lucius,Glaridacris,0
