source,target,weight
Host species,Unnamed: 1,Sample size
Salvelinus namaycush,Unnamed: 1,7
Coregonus clupeaformis,Unnamed: 1,15
Coregonus artedii,Unnamed: 1,52
Esox lucius,Unnamed: 1,23
Carpiodes cyprinus,Unnamed: 1,5
Catostomus commersoni,Unnamed: 1,51
Moxostoma anisurum,Unnamed: 1,6
Chrosomus neogaeus,Unnamed: 1,11
Couesius plumbeus,Unnamed: 1,5
Notropis anogenus,Unnamed: 1,8
Notropis atherinoides,Unnamed: 1,9
Notropis hudsonius,Unnamed: 1,25
Pimephales notatus,Unnamed: 1,20
Pimephales promelas,Unnamed: 1,6
Semotilus margarita,Unnamed: 1,5
Ictalurus nebulosus,Unnamed: 1,20
Noturus gyrinus,Unnamed: 1,11
Lota lota,Unnamed: 1,17
Culaea inconstans,Unnamed: 1,17
Percopsis omiscomaycus,Unnamed: 1,13
Ambloplites rupestris,Unnamed: 1,20
Lepomis gibbosus,Unnamed: 1,16
Micropterus dolomieui,Unnamed: 1,37
Pomoxis nigromaculatus,Unnamed: 1,40
Perca flavescens,Unnamed: 1,67
Stizostedion canadense,Unnamed: 1,18
Stizostedion vitreum,Unnamed: 1,29
Etheostoma exile,Unnamed: 1,16
Etheostoma nigrum,Unnamed: 1,24
Percina caprodes,Unnamed: 1,35
Cottus bairdi,Unnamed: 1,10
Host species,Parasite genus,No.
Salvelinus namaycush,Parasite genus,1
Coregonus clupeaformis,Parasite genus,2
Coregonus artedii,Parasite genus,3
Esox lucius,Parasite genus,4
Carpiodes cyprinus,Parasite genus,5
Catostomus commersoni,Parasite genus,6
Moxostoma anisurum,Parasite genus,7
Chrosomus neogaeus,Parasite genus,8
Couesius plumbeus,Parasite genus,9
Notropis anogenus,Parasite genus,10
Notropis atherinoides,Parasite genus,11
Notropis hudsonius,Parasite genus,12
Pimephales notatus,Parasite genus,13
Pimephales promelas,Parasite genus,14
Semotilus margarita,Parasite genus,15
Ictalurus nebulosus,Parasite genus,16
Noturus gyrinus,Parasite genus,17
Lota lota,Parasite genus,18
Culaea inconstans,Parasite genus,19
Percopsis omiscomaycus,Parasite genus,20
Ambloplites rupestris,Parasite genus,21
Lepomis gibbosus,Parasite genus,22
Micropterus dolomieui,Parasite genus,23
Pomoxis nigromaculatus,Parasite genus,24
Perca flavescens,Parasite genus,25
Stizostedion canadense,Parasite genus,26
Stizostedion vitreum,Parasite genus,27
Etheostoma exile,Parasite genus,28
Etheostoma nigrum,Parasite genus,29
Percina caprodes,Parasite genus,30
Cottus bairdi,Parasite genus,31
Host species,Acolpenteron,1
Salvelinus namaycush,Acolpenteron,0
Coregonus clupeaformis,Acolpenteron,0
Coregonus artedii,Acolpenteron,0
Esox lucius,Acolpenteron,0
Carpiodes cyprinus,Acolpenteron,0
Catostomus commersoni,Acolpenteron,25.5
Moxostoma anisurum,Acolpenteron,0
Chrosomus neogaeus,Acolpenteron,0
Couesius plumbeus,Acolpenteron,0
Notropis anogenus,Acolpenteron,0
Notropis atherinoides,Acolpenteron,0
Notropis hudsonius,Acolpenteron,0
Pimephales notatus,Acolpenteron,0
Pimephales promelas,Acolpenteron,0
Semotilus margarita,Acolpenteron,0
Ictalurus nebulosus,Acolpenteron,0
Noturus gyrinus,Acolpenteron,0
Lota lota,Acolpenteron,0
