source,target,weight
Host species,Unnamed: 1,Sample size
Catostomus catostomus,Unnamed: 1,49
Catostomus macrocheilus,Unnamed: 1,43
Cottus asper,Unnamed: 1,19
Cottus cognatus,Unnamed: 1,23
Lota lota,Unnamed: 1,9
Mylocheilus caurinus,Unnamed: 1,22
Oncorhynchus nerka,Unnamed: 1,18
Oncorhynchus tshawytscha,Unnamed: 1,57
Prosopium williamsoni,Unnamed: 1,145
Ptychocheilus oregonensis,Unnamed: 1,20
Rhinichthys cataractae,Unnamed: 1,6
Richardsonius balteatus,Unnamed: 1,20
Salmo gairdneri,Unnamed: 1,98
Salvelinus malma,Unnamed: 1,85
Salvelinus namaycush,Unnamed: 1,13
Host species,Parasite genus,No.
Catostomus catostomus,Parasite genus,1
Catostomus macrocheilus,Parasite genus,2
Cottus asper,Parasite genus,3
Cottus cognatus,Parasite genus,4
Lota lota,Parasite genus,5
Mylocheilus caurinus,Parasite genus,6
Oncorhynchus nerka,Parasite genus,7
Oncorhynchus tshawytscha,Parasite genus,8
Prosopium williamsoni,Parasite genus,9
Ptychocheilus oregonensis,Parasite genus,10
Rhinichthys cataractae,Parasite genus,11
Richardsonius balteatus,Parasite genus,12
Salmo gairdneri,Parasite genus,13
Salvelinus malma,Parasite genus,14
Salvelinus namaycush,Parasite genus,15
Host species,Acolpenteron,1
Catostomus catostomus,Acolpenteron,4.1
Catostomus macrocheilus,Acolpenteron,2.3
Cottus asper,Acolpenteron,0
Cottus cognatus,Acolpenteron,0
Lota lota,Acolpenteron,0
Mylocheilus caurinus,Acolpenteron,0
Oncorhynchus nerka,Acolpenteron,0
Oncorhynchus tshawytscha,Acolpenteron,0
Prosopium williamsoni,Acolpenteron,0
Ptychocheilus oregonensis,Acolpenteron,0
Rhinichthys cataractae,Acolpenteron,0
Richardsonius balteatus,Acolpenteron,0
Salmo gairdneri,Acolpenteron,0
Salvelinus malma,Acolpenteron,0
Salvelinus namaycush,Acolpenteron,0
Host species,Anoncohaptor,2
Catostomus catostomus,Anoncohaptor,2
Catostomus macrocheilus,Anoncohaptor,0
Cottus asper,Anoncohaptor,0
Cottus cognatus,Anoncohaptor,0
Lota lota,Anoncohaptor,0
Mylocheilus caurinus,Anoncohaptor,0
Oncorhynchus nerka,Anoncohaptor,0
Oncorhynchus tshawytscha,Anoncohaptor,0
Prosopium williamsoni,Anoncohaptor,0
Ptychocheilus oregonensis,Anoncohaptor,0
Rhinichthys cataractae,Anoncohaptor,0
Richardsonius balteatus,Anoncohaptor,0
Salmo gairdneri,Anoncohaptor,0
Salvelinus malma,Anoncohaptor,0
Salvelinus namaycush,Anoncohaptor,0
Host species,Pseudomurraytrema,3
Catostomus catostomus,Pseudomurraytrema,6.1
Catostomus macrocheilus,Pseudomurraytrema,25.6
Cottus asper,Pseudomurraytrema,0
Cottus cognatus,Pseudomurraytrema,0
Lota lota,Pseudomurraytrema,0
Mylocheilus caurinus,Pseudomurraytrema,0
Oncorhynchus nerka,Pseudomurraytrema,0
Oncorhynchus tshawytscha,Pseudomurraytrema,0
Prosopium williamsoni,Pseudomurraytrema,0
Ptychocheilus oregonensis,Pseudomurraytrema,0
Rhinichthys cataractae,Pseudomurraytrema,0
Richardsonius balteatus,Pseudomurraytrema,0
Salmo gairdneri,Pseudomurraytrema,0
Salvelinus malma,Pseudomurraytrema,0
Salvelinus namaycush,Pseudomurraytrema,0
Host species,Tetraonchus,4
Catostomus catostomus,Tetraonchus,0
Catostomus macrocheilus,Tetraonchus,0
Cottus asper,Tetraonchus,0
Cottus cognatus,Tetraonchus,0
Lota lota,Tetraonchus,0
Mylocheilus caurinus,Tetraonchus,0
Oncorhynchus nerka,Tetraonchus,0
Oncorhynchus tshawytscha,Tetraonchus,0
Prosopium williamsoni,Tetraonchus,0
Ptychocheilus oregonensis,Tetraonchus,0
Rhinichthys cataractae,Tetraonchus,0
Richardsonius balteatus,Tetraonchus,0
Salmo gairdneri,Tetraonchus,0
Salvelinus malma,Tetraonchus,5.9
Salvelinus namaycush,Tetraonchus,0
Host species,Tetraonchus.1,5
Catostomus catostomus,Tetraonchus.1,0
Catostomus macrocheilus,Tetraonchus.1,0
Cottus asper,Tetraonchus.1,0
Cottus cognatus,Tetraonchus.1,0
Lota lota,Tetraonchus.1,0
Mylocheilus caurinus,Tetraonchus.1,0
Oncorhynchus nerka,Tetraonchus.1,0
Oncorhynchus tshawytscha,Tetraonchus.1,0
