source,target,weight
Host species,Unnamed: 1,Sample size
Catostomus catostomus,Unnamed: 1,51
Catostomus commersoni,Unnamed: 1,22
Catostomus macrocheilus,Unnamed: 1,49
Coregonus clupeaformis,Unnamed: 1,86
Cottus cognatus,Unnamed: 1,29
Lota lota,Unnamed: 1,7
Mylocheilus caurinus,Unnamed: 1,7
Oncorhynchus nerka,Unnamed: 1,52
Prosopium coulteri,Unnamed: 1,5
Prosopium williamsoni,Unnamed: 1,153
Ptychocheilus oregonensis,Unnamed: 1,33
Rhinichthys cataractae,Unnamed: 1,20
Richardsonius balteatus,Unnamed: 1,20
Salmo gairdneri,Unnamed: 1,100
Salvelinus malma,Unnamed: 1,101
Salvelinus namaycush,Unnamed: 1,24
Thymallus arcticus,Unnamed: 1,100
Host species,Parasite genus,No.
Catostomus catostomus,Parasite genus,1
Catostomus commersoni,Parasite genus,2
Catostomus macrocheilus,Parasite genus,3
Coregonus clupeaformis,Parasite genus,4
Cottus cognatus,Parasite genus,5
Lota lota,Parasite genus,6
Mylocheilus caurinus,Parasite genus,7
Oncorhynchus nerka,Parasite genus,8
Prosopium coulteri,Parasite genus,9
Prosopium williamsoni,Parasite genus,10
Ptychocheilus oregonensis,Parasite genus,11
Rhinichthys cataractae,Parasite genus,12
Richardsonius balteatus,Parasite genus,13
Salmo gairdneri,Parasite genus,14
Salvelinus malma,Parasite genus,15
Salvelinus namaycush,Parasite genus,16
Thymallus arcticus,Parasite genus,17
Host species,Acolpenteron,1
Catostomus catostomus,Acolpenteron,5.9
Catostomus commersoni,Acolpenteron,0
Catostomus macrocheilus,Acolpenteron,4.1
Coregonus clupeaformis,Acolpenteron,0
Cottus cognatus,Acolpenteron,0
Lota lota,Acolpenteron,0
Mylocheilus caurinus,Acolpenteron,0
Oncorhynchus nerka,Acolpenteron,0
Prosopium coulteri,Acolpenteron,0
Prosopium williamsoni,Acolpenteron,0
Ptychocheilus oregonensis,Acolpenteron,0
Rhinichthys cataractae,Acolpenteron,0
Richardsonius balteatus,Acolpenteron,0
Salmo gairdneri,Acolpenteron,0
Salvelinus malma,Acolpenteron,0
Salvelinus namaycush,Acolpenteron,0
Thymallus arcticus,Acolpenteron,0
Host species,Anoncohaptor,2
Catostomus catostomus,Anoncohaptor,2
Catostomus commersoni,Anoncohaptor,13.6
Catostomus macrocheilus,Anoncohaptor,4.1
Coregonus clupeaformis,Anoncohaptor,0
Cottus cognatus,Anoncohaptor,0
Lota lota,Anoncohaptor,0
Mylocheilus caurinus,Anoncohaptor,0
Oncorhynchus nerka,Anoncohaptor,0
Prosopium coulteri,Anoncohaptor,0
Prosopium williamsoni,Anoncohaptor,0
Ptychocheilus oregonensis,Anoncohaptor,0
Rhinichthys cataractae,Anoncohaptor,0
Richardsonius balteatus,Anoncohaptor,0
Salmo gairdneri,Anoncohaptor,0
Salvelinus malma,Anoncohaptor,0
Salvelinus namaycush,Anoncohaptor,0
Thymallus arcticus,Anoncohaptor,0
Host species,Pellucidhaptor,3
Catostomus catostomus,Pellucidhaptor,0
Catostomus commersoni,Pellucidhaptor,0
Catostomus macrocheilus,Pellucidhaptor,0
Coregonus clupeaformis,Pellucidhaptor,0
Cottus cognatus,Pellucidhaptor,0
Lota lota,Pellucidhaptor,0
Mylocheilus caurinus,Pellucidhaptor,0
Oncorhynchus nerka,Pellucidhaptor,0
Prosopium coulteri,Pellucidhaptor,0
Prosopium williamsoni,Pellucidhaptor,0
Ptychocheilus oregonensis,Pellucidhaptor,0
Rhinichthys cataractae,Pellucidhaptor,0
Richardsonius balteatus,Pellucidhaptor,10
Salmo gairdneri,Pellucidhaptor,0
Salvelinus malma,Pellucidhaptor,0
Salvelinus namaycush,Pellucidhaptor,0
Thymallus arcticus,Pellucidhaptor,0
Host species,Pseudomurraytrema,4
Catostomus catostomus,Pseudomurraytrema,9.8
Catostomus commersoni,Pseudomurraytrema,36.4
Catostomus macrocheilus,Pseudomurraytrema,57.1
Coregonus clupeaformis,Pseudomurraytrema,0
Cottus cognatus,Pseudomurraytrema,0
Lota lota,Pseudomurraytrema,0
Mylocheilus caurinus,Pseudomurraytrema,0
Oncorhynchus nerka,Pseudomurraytrema,0
Prosopium coulteri,Pseudomurraytrema,0
Prosopium williamsoni,Pseudomurraytrema,0
Ptychocheilus oregonensis,Pseudomurraytrema,0
Rhinichthys cataractae,Pseudomurraytrema,0
Richardsonius balteatus,Pseudomurraytrema,0
Salmo gairdneri,Pseudomurraytrema,0
Salvelinus malma,Pseudomurraytrema,0
Salvelinus namaycush,Pseudomurraytrema,0
Thymallus arcticus,Pseudomurraytrema,0
Host species,Tetraonchus,5
Catostomus catostomus,Tetraonchus,0
Catostomus commersoni,Tetraonchus,0
Catostomus macrocheilus,Tetraonchus,0
Coregonus clupeaformis,Tetraonchus,0
Cottus cognatus,Tetraonchus,0
Lota lota,Tetraonchus,0
Mylocheilus caurinus,Tetraonchus,0
Oncorhynchus nerka,Tetraonchus,0
Prosopium coulteri,Tetraonchus,0
Prosopium williamsoni,Tetraonchus,0
Ptychocheilus oregonensis,Tetraonchus,0
Rhinichthys cataractae,Tetraonchus,0
Richardsonius balteatus,Tetraonchus,0
Salmo gairdneri,Tetraonchus,0
Salvelinus malma,Tetraonchus,0
Salvelinus namaycush,Tetraonchus,0
Thymallus arcticus,Tetraonchus,34
Host species,Tetraonchus.1,6
Catostomus catostomus,Tetraonchus.1,0
Catostomus commersoni,Tetraonchus.1,0
Catostomus macrocheilus,Tetraonchus.1,0
Coregonus clupeaformis,Tetraonchus.1,0
Cottus cognatus,Tetraonchus.1,0
Lota lota,Tetraonchus.1,0
Mylocheilus caurinus,Tetraonchus.1,0
Oncorhynchus nerka,Tetraonchus.1,0
Prosopium coulteri,Tetraonchus.1,0
Prosopium williamsoni,Tetraonchus.1,19.6
Ptychocheilus oregonensis,Tetraonchus.1,0
Rhinichthys cataractae,Tetraonchus.1,0
Richardsonius balteatus,Tetraonchus.1,0
Salmo gairdneri,Tetraonchus.1,0
Salvelinus malma,Tetraonchus.1,0
Salvelinus namaycush,Tetraonchus.1,0
Thymallus arcticus,Tetraonchus.1,0
Host species,Octomacrum,7
Catostomus catostomus,Octomacrum,0
Catostomus commersoni,Octomacrum,0
Catostomus macrocheilus,Octomacrum,2
Coregonus clupeaformis,Octomacrum,0
Cottus cognatus,Octomacrum,0
Lota lota,Octomacrum,0
Mylocheilus caurinus,Octomacrum,0
Oncorhynchus nerka,Octomacrum,0
Prosopium coulteri,Octomacrum,0
Prosopium williamsoni,Octomacrum,0
Ptychocheilus oregonensis,Octomacrum,0
Rhinichthys cataractae,Octomacrum,0
Richardsonius balteatus,Octomacrum,0
Salmo gairdneri,Octomacrum,0
Salvelinus malma,Octomacrum,0
Salvelinus namaycush,Octomacrum,0
Thymallus arcticus,Octomacrum,0
Host species,Allocreadium,8
Catostomus catostomus,Allocreadium,0
Catostomus commersoni,Allocreadium,0
Catostomus macrocheilus,Allocreadium,0
Coregonus clupeaformis,Allocreadium,0
Cottus cognatus,Allocreadium,0
Lota lota,Allocreadium,0
Mylocheilus caurinus,Allocreadium,14.3
Oncorhynchus nerka,Allocreadium,0
Prosopium coulteri,Allocreadium,0
Prosopium williamsoni,Allocreadium,0
Ptychocheilus oregonensis,Allocreadium,3
Rhinichthys cataractae,Allocreadium,0
Richardsonius balteatus,Allocreadium,0
Salmo gairdneri,Allocreadium,0
Salvelinus malma,Allocreadium,0
Salvelinus namaycush,Allocreadium,0
Thymallus arcticus,Allocreadium,0
Host species,Bunodera,9
Catostomus catostomus,Bunodera,0
Catostomus commersoni,Bunodera,0
Catostomus macrocheilus,Bunodera,0
Coregonus clupeaformis,Bunodera,0
Cottus cognatus,Bunodera,0
Lota lota,Bunodera,0
Mylocheilus caurinus,Bunodera,0
Oncorhynchus nerka,Bunodera,0
Prosopium coulteri,Bunodera,0
Prosopium williamsoni,Bunodera,0
Ptychocheilus oregonensis,Bunodera,0
Rhinichthys cataractae,Bunodera,0
Richardsonius balteatus,Bunodera,0
Salmo gairdneri,Bunodera,8
Salvelinus malma,Bunodera,0
Salvelinus namaycush,Bunodera,0
Thymallus arcticus,Bunodera,0
Host species,Crepidostomum,10
Catostomus catostomus,Crepidostomum,0
Catostomus commersoni,Crepidostomum,0
Catostomus macrocheilus,Crepidostomum,0
Coregonus clupeaformis,Crepidostomum,3.5
Cottus cognatus,Crepidostomum,3.4
Lota lota,Crepidostomum,14.3
Mylocheilus caurinus,Crepidostomum,0
Oncorhynchus nerka,Crepidostomum,5.8
Prosopium coulteri,Crepidostomum,0
