source,target,weight
Host species,Unnamed: 1,Sample size
Osmerus mordax,Unnamed: 1,50
Coregonus artedi,Unnamed: 1,79
Coregonus hoyi,Unnamed: 1,47
Coregonus clupeaformis,Unnamed: 1,99
Prosopium cylindraceum,Unnamed: 1,22
Oncorhynchus mykiss,Unnamed: 1,15
Salvelinus fontinalis,Unnamed: 1,13
Salvelinus namaycush,Unnamed: 1,18
Catostomus commersoni,Unnamed: 1,152
Catostomus catostomus,Unnamed: 1,39
Semotilus atromaculatus,Unnamed: 1,34
Rhinichthys cataractae,Unnamed: 1,5
Chrosomus eos,Unnamed: 1,17
Notropis atherinoides,Unnamed: 1,5
Notropis cornutus,Unnamed: 1,6
Notropis hudsonius,Unnamed: 1,100
Notropis volucellus,Unnamed: 1,11
Notropis heterolepis,Unnamed: 1,25
Pimephales notatus,Unnamed: 1,17
Ictalurus nebulosus,Unnamed: 1,14
Esox lucius,Unnamed: 1,66
Percopsis omiscomaycus,Unnamed: 1,19
Perca flavescens,Unnamed: 1,201
Stizostedion vitreum,Unnamed: 1,41
Etheostoma nigrum,Unnamed: 1,39
Etheostoma exile,Unnamed: 1,5
Micropterus dolomieui,Unnamed: 1,221
Micropterus salmoides,Unnamed: 1,5
Lepomis gibbosus,Unnamed: 1,55
Ambloplites rupestris,Unnamed: 1,116
Lota lota,Unnamed: 1,21
Culaea inconstans,Unnamed: 1,34
Cottus bairdi,Unnamed: 1,8
Host species,Parasite genus,No.
Osmerus mordax,Parasite genus,1
Coregonus artedi,Parasite genus,2
Coregonus hoyi,Parasite genus,3
Coregonus clupeaformis,Parasite genus,4
Prosopium cylindraceum,Parasite genus,5
Oncorhynchus mykiss,Parasite genus,6
Salvelinus fontinalis,Parasite genus,7
Salvelinus namaycush,Parasite genus,8
Catostomus commersoni,Parasite genus,9
Catostomus catostomus,Parasite genus,10
Semotilus atromaculatus,Parasite genus,11
Rhinichthys cataractae,Parasite genus,12
Chrosomus eos,Parasite genus,13
Notropis atherinoides,Parasite genus,14
Notropis cornutus,Parasite genus,15
Notropis hudsonius,Parasite genus,16
Notropis volucellus,Parasite genus,17
Notropis heterolepis,Parasite genus,18
Pimephales notatus,Parasite genus,19
Ictalurus nebulosus,Parasite genus,20
Esox lucius,Parasite genus,21
Percopsis omiscomaycus,Parasite genus,22
Perca flavescens,Parasite genus,23
Stizostedion vitreum,Parasite genus,24
Etheostoma nigrum,Parasite genus,25
Etheostoma exile,Parasite genus,26
Micropterus dolomieui,Parasite genus,27
Micropterus salmoides,Parasite genus,28
Lepomis gibbosus,Parasite genus,29
Ambloplites rupestris,Parasite genus,30
Lota lota,Parasite genus,31
Culaea inconstans,Parasite genus,32
Cottus bairdi,Parasite genus,33
Host species,Discocotyle,1
Osmerus mordax,Discocotyle,0
Coregonus artedi,Discocotyle,11.4
Coregonus hoyi,Discocotyle,10.6
Coregonus clupeaformis,Discocotyle,0
Prosopium cylindraceum,Discocotyle,4.5
Oncorhynchus mykiss,Discocotyle,0
Salvelinus fontinalis,Discocotyle,0
Salvelinus namaycush,Discocotyle,0
Catostomus commersoni,Discocotyle,0
Catostomus catostomus,Discocotyle,0
Semotilus atromaculatus,Discocotyle,0
Rhinichthys cataractae,Discocotyle,0
Chrosomus eos,Discocotyle,0
Notropis atherinoides,Discocotyle,0
Notropis cornutus,Discocotyle,0
Notropis hudsonius,Discocotyle,0
Notropis volucellus,Discocotyle,0
Notropis heterolepis,Discocotyle,0
Pimephales notatus,Discocotyle,0
Ictalurus nebulosus,Discocotyle,0
Esox lucius,Discocotyle,0
Percopsis omiscomaycus,Discocotyle,0
Perca flavescens,Discocotyle,0
Stizostedion vitreum,Discocotyle,0
Etheostoma nigrum,Discocotyle,0
Etheostoma exile,Discocotyle,0
Micropterus dolomieui,Discocotyle,0
Micropterus salmoides,Discocotyle,0
Lepomis gibbosus,Discocotyle,0
Ambloplites rupestris,Discocotyle,0
Lota lota,Discocotyle,0
Culaea inconstans,Discocotyle,0
Cottus bairdi,Discocotyle,0
Host species,Octomacrum,2
Osmerus mordax,Octomacrum,0
Coregonus artedi,Octomacrum,0
Coregonus hoyi,Octomacrum,0
Coregonus clupeaformis,Octomacrum,0
Prosopium cylindraceum,Octomacrum,0
Oncorhynchus mykiss,Octomacrum,0
Salvelinus fontinalis,Octomacrum,0
Salvelinus namaycush,Octomacrum,0
Catostomus commersoni,Octomacrum,2.6
Catostomus catostomus,Octomacrum,0
Semotilus atromaculatus,Octomacrum,0
Rhinichthys cataractae,Octomacrum,0
Chrosomus eos,Octomacrum,0
Notropis atherinoides,Octomacrum,0
Notropis cornutus,Octomacrum,0
Notropis hudsonius,Octomacrum,0
Notropis volucellus,Octomacrum,0
Notropis heterolepis,Octomacrum,0
Pimephales notatus,Octomacrum,0
Ictalurus nebulosus,Octomacrum,0
Esox lucius,Octomacrum,0
Percopsis omiscomaycus,Octomacrum,0
Perca flavescens,Octomacrum,0
Stizostedion vitreum,Octomacrum,0
Etheostoma nigrum,Octomacrum,0
Etheostoma exile,Octomacrum,0
Micropterus dolomieui,Octomacrum,0
Micropterus salmoides,Octomacrum,0
Lepomis gibbosus,Octomacrum,0
Ambloplites rupestris,Octomacrum,0
Lota lota,Octomacrum,0
Culaea inconstans,Octomacrum,0
Cottus bairdi,Octomacrum,0
Host species,Triganodistomum,3
Osmerus mordax,Triganodistomum,0
Coregonus artedi,Triganodistomum,0
Coregonus hoyi,Triganodistomum,0
Coregonus clupeaformis,Triganodistomum,0
Prosopium cylindraceum,Triganodistomum,0
Oncorhynchus mykiss,Triganodistomum,0
Salvelinus fontinalis,Triganodistomum,0
Salvelinus namaycush,Triganodistomum,0
Catostomus commersoni,Triganodistomum,0
Catostomus catostomus,Triganodistomum,15.4
Semotilus atromaculatus,Triganodistomum,0
Rhinichthys cataractae,Triganodistomum,0
Chrosomus eos,Triganodistomum,0
Notropis atherinoides,Triganodistomum,0
Notropis cornutus,Triganodistomum,0
Notropis hudsonius,Triganodistomum,0
Notropis volucellus,Triganodistomum,0
Notropis heterolepis,Triganodistomum,0
Pimephales notatus,Triganodistomum,0
Ictalurus nebulosus,Triganodistomum,0
Esox lucius,Triganodistomum,0
Percopsis omiscomaycus,Triganodistomum,0
Perca flavescens,Triganodistomum,0
Stizostedion vitreum,Triganodistomum,0
Etheostoma nigrum,Triganodistomum,0
Etheostoma exile,Triganodistomum,0
Micropterus dolomieui,Triganodistomum,0
Micropterus salmoides,Triganodistomum,0
Lepomis gibbosus,Triganodistomum,0
Ambloplites rupestris,Triganodistomum,0
Lota lota,Triganodistomum,0
Culaea inconstans,Triganodistomum,0
Cottus bairdi,Triganodistomum,0
Host species,Triganodistomum.1,4
Osmerus mordax,Triganodistomum.1,0
Coregonus artedi,Triganodistomum.1,0
Coregonus hoyi,Triganodistomum.1,0
Coregonus clupeaformis,Triganodistomum.1,0
Prosopium cylindraceum,Triganodistomum.1,0
Oncorhynchus mykiss,Triganodistomum.1,0
Salvelinus fontinalis,Triganodistomum.1,0
Salvelinus namaycush,Triganodistomum.1,0
Catostomus commersoni,Triganodistomum.1,2.6
Catostomus catostomus,Triganodistomum.1,0
Semotilus atromaculatus,Triganodistomum.1,0
Rhinichthys cataractae,Triganodistomum.1,0
Chrosomus eos,Triganodistomum.1,0
Notropis atherinoides,Triganodistomum.1,0
Notropis cornutus,Triganodistomum.1,0
Notropis hudsonius,Triganodistomum.1,0
Notropis volucellus,Triganodistomum.1,0
Notropis heterolepis,Triganodistomum.1,0
Pimephales notatus,Triganodistomum.1,0
Ictalurus nebulosus,Triganodistomum.1,0
Esox lucius,Triganodistomum.1,0
Percopsis omiscomaycus,Triganodistomum.1,0
Perca flavescens,Triganodistomum.1,0
Stizostedion vitreum,Triganodistomum.1,0
Etheostoma nigrum,Triganodistomum.1,0
Etheostoma exile,Triganodistomum.1,0
Micropterus dolomieui,Triganodistomum.1,0
Micropterus salmoides,Triganodistomum.1,0
Lepomis gibbosus,Triganodistomum.1,0
Ambloplites rupestris,Triganodistomum.1,0
Lota lota,Triganodistomum.1,0
Culaea inconstans,Triganodistomum.1,0
Cottus bairdi,Triganodistomum.1,0
Host species,Bucephalus,5
Osmerus mordax,Bucephalus,0
Coregonus artedi,Bucephalus,0
Coregonus hoyi,Bucephalus,0
Coregonus clupeaformis,Bucephalus,0
Prosopium cylindraceum,Bucephalus,0
Oncorhynchus mykiss,Bucephalus,0
Salvelinus fontinalis,Bucephalus,0
Salvelinus namaycush,Bucephalus,0
Catostomus commersoni,Bucephalus,0
Catostomus catostomus,Bucephalus,0
Semotilus atromaculatus,Bucephalus,0
Rhinichthys cataractae,Bucephalus,0
Chrosomus eos,Bucephalus,0
Notropis atherinoides,Bucephalus,0
Notropis cornutus,Bucephalus,0
Notropis hudsonius,Bucephalus,0
Notropis volucellus,Bucephalus,0
Notropis heterolepis,Bucephalus,0
Pimephales notatus,Bucephalus,0
Ictalurus nebulosus,Bucephalus,0
Esox lucius,Bucephalus,0
Percopsis omiscomaycus,Bucephalus,0
Perca flavescens,Bucephalus,1.5
Stizostedion vitreum,Bucephalus,0
Etheostoma nigrum,Bucephalus,0
Etheostoma exile,Bucephalus,0
Micropterus dolomieui,Bucephalus,0
Micropterus salmoides,Bucephalus,0
Lepomis gibbosus,Bucephalus,0
Ambloplites rupestris,Bucephalus,0
Lota lota,Bucephalus,0
Culaea inconstans,Bucephalus,0
Cottus bairdi,Bucephalus,0
Host species,Bunodera,6
Osmerus mordax,Bunodera,0
Coregonus artedi,Bunodera,0
Coregonus hoyi,Bunodera,0
Coregonus clupeaformis,Bunodera,0
Prosopium cylindraceum,Bunodera,0
Oncorhynchus mykiss,Bunodera,0
Salvelinus fontinalis,Bunodera,0
Salvelinus namaycush,Bunodera,0
Catostomus commersoni,Bunodera,0
Catostomus catostomus,Bunodera,0
Semotilus atromaculatus,Bunodera,0
Rhinichthys cataractae,Bunodera,0
Chrosomus eos,Bunodera,0
Notropis atherinoides,Bunodera,0
Notropis cornutus,Bunodera,0
Notropis hudsonius,Bunodera,0
Notropis volucellus,Bunodera,0
Notropis heterolepis,Bunodera,0
Pimephales notatus,Bunodera,0
Ictalurus nebulosus,Bunodera,0
Esox lucius,Bunodera,0
Percopsis omiscomaycus,Bunodera,0
Perca flavescens,Bunodera,21.9
Stizostedion vitreum,Bunodera,0
Etheostoma nigrum,Bunodera,0
Etheostoma exile,Bunodera,0
Micropterus dolomieui,Bunodera,0
Micropterus salmoides,Bunodera,0
Lepomis gibbosus,Bunodera,0
Ambloplites rupestris,Bunodera,0
Lota lota,Bunodera,0
Culaea inconstans,Bunodera,0
Cottus bairdi,Bunodera,0
Host species,Bunoderina,7
Osmerus mordax,Bunoderina,0
Coregonus artedi,Bunoderina,0
Coregonus hoyi,Bunoderina,0
Coregonus clupeaformis,Bunoderina,0
Prosopium cylindraceum,Bunoderina,0
Oncorhynchus mykiss,Bunoderina,0
Salvelinus fontinalis,Bunoderina,0
Salvelinus namaycush,Bunoderina,0
Catostomus commersoni,Bunoderina,0
Catostomus catostomus,Bunoderina,0
Semotilus atromaculatus,Bunoderina,0
Rhinichthys cataractae,Bunoderina,0
Chrosomus eos,Bunoderina,0
