source,target,weight
Host species,Unnamed: 1,Sample size
Salmo salar,Unnamed: 1,5
Salvelinus fontinalis,Unnamed: 1,68
Salvelinus namaycush,Unnamed: 1,32
Coregonus clupeaformis,Unnamed: 1,102
Esox lucius,Unnamed: 1,107
Catostomus catostomus,Unnamed: 1,14
Host species,Parasite genus,No.
Salmo salar,Parasite genus,1
Salvelinus fontinalis,Parasite genus,2
Salvelinus namaycush,Parasite genus,3
Coregonus clupeaformis,Parasite genus,4
Esox lucius,Parasite genus,5
Catostomus catostomus,Parasite genus,6
Host species,Tetraonchus,1
Salmo salar,Tetraonchus,0
Salvelinus fontinalis,Tetraonchus,0
Salvelinus namaycush,Tetraonchus,3
Coregonus clupeaformis,Tetraonchus,0
Esox lucius,Tetraonchus,84
Catostomus catostomus,Tetraonchus,0
Host species,Discocotyle,2
Salmo salar,Discocotyle,20
Salvelinus fontinalis,Discocotyle,4
Salvelinus namaycush,Discocotyle,0
Coregonus clupeaformis,Discocotyle,18
Esox lucius,Discocotyle,0
Catostomus catostomus,Discocotyle,0
Host species,Crepidostomum,3
Salmo salar,Crepidostomum,0
Salvelinus fontinalis,Crepidostomum,60
Salvelinus namaycush,Crepidostomum,9
Coregonus clupeaformis,Crepidostomum,5
Esox lucius,Crepidostomum,0
Catostomus catostomus,Crepidostomum,0
Host species,Crepidostomum.1,4
Salmo salar,Crepidostomum.1,20
Salvelinus fontinalis,Crepidostomum.1,0
Salvelinus namaycush,Crepidostomum.1,3
Coregonus clupeaformis,Crepidostomum.1,3
Esox lucius,Crepidostomum.1,0
Catostomus catostomus,Crepidostomum.1,0
Host species,Phyllodistomum,5
Salmo salar,Phyllodistomum,0
Salvelinus fontinalis,Phyllodistomum,0
Salvelinus namaycush,Phyllodistomum,0
Coregonus clupeaformis,Phyllodistomum,21
Esox lucius,Phyllodistomum,0
Catostomus catostomus,Phyllodistomum,0
Host species,Phyllodistomum.1,6
Salmo salar,Phyllodistomum.1,20
Salvelinus fontinalis,Phyllodistomum.1,72
Salvelinus namaycush,Phyllodistomum.1,16
Coregonus clupeaformis,Phyllodistomum.1,0
Esox lucius,Phyllodistomum.1,0
Catostomus catostomus,Phyllodistomum.1,0
Host species,Triaenophorus,7
Salmo salar,Triaenophorus,0
Salvelinus fontinalis,Triaenophorus,0
Salvelinus namaycush,Triaenophorus,0
Coregonus clupeaformis,Triaenophorus,0
Esox lucius,Triaenophorus,64
Catostomus catostomus,Triaenophorus,0
Host species,Triaenophorus.1,8
Salmo salar,Triaenophorus.1,0
Salvelinus fontinalis,Triaenophorus.1,0
Salvelinus namaycush,Triaenophorus.1,13
Coregonus clupeaformis,Triaenophorus.1,16
Esox lucius,Triaenophorus.1,0
Catostomus catostomus,Triaenophorus.1,0
Host species,Eubothrium,9
Salmo salar,Eubothrium,100
Salvelinus fontinalis,Eubothrium,65
Salvelinus namaycush,Eubothrium,56
Coregonus clupeaformis,Eubothrium,0
Esox lucius,Eubothrium,0
Catostomus catostomus,Eubothrium,0
Host species,Diphyllobothrium,10
Salmo salar,Diphyllobothrium,20
Salvelinus fontinalis,Diphyllobothrium,3
Salvelinus namaycush,Diphyllobothrium,44
Coregonus clupeaformis,Diphyllobothrium,5
Esox lucius,Diphyllobothrium,0
Catostomus catostomus,Diphyllobothrium,0
Host species,Proteocephalus,11
Salmo salar,Proteocephalus,0
Salvelinus fontinalis,Proteocephalus,0
Salvelinus namaycush,Proteocephalus,0
Coregonus clupeaformis,Proteocephalus,0
Esox lucius,Proteocephalus,76
Catostomus catostomus,Proteocephalus,0
Host species,Proteocephalus.1,12
Salmo salar,Proteocephalus.1,0
Salvelinus fontinalis,Proteocephalus.1,1
Salvelinus namaycush,Proteocephalus.1,25
Coregonus clupeaformis,Proteocephalus.1,47
Esox lucius,Proteocephalus.1,0
Catostomus catostomus,Proteocephalus.1,0
Host species,Proteocephalus.2,13
Salmo salar,Proteocephalus.2,0
Salvelinus fontinalis,Proteocephalus.2,6
Salvelinus namaycush,Proteocephalus.2,9
Coregonus clupeaformis,Proteocephalus.2,5
Esox lucius,Proteocephalus.2,0
Catostomus catostomus,Proteocephalus.2,0
Host species,Proteocephalus.3,14
Salmo salar,Proteocephalus.3,20
Salvelinus fontinalis,Proteocephalus.3,12
Salvelinus namaycush,Proteocephalus.3,53
Coregonus clupeaformis,Proteocephalus.3,3
Esox lucius,Proteocephalus.3,0
Catostomus catostomus,Proteocephalus.3,0
Host species,Raphidascaris,15
Salmo salar,Raphidascaris,0
Salvelinus fontinalis,Raphidascaris,7
Salvelinus namaycush,Raphidascaris,9
Coregonus clupeaformis,Raphidascaris,1
Esox lucius,Raphidascaris,0
Catostomus catostomus,Raphidascaris,0
Host species,Raphidascaris.1,16
Salmo salar,Raphidascaris.1,0
Salvelinus fontinalis,Raphidascaris.1,0
Salvelinus namaycush,Raphidascaris.1,0
Coregonus clupeaformis,Raphidascaris.1,0
Esox lucius,Raphidascaris.1,51
Catostomus catostomus,Raphidascaris.1,0
Host species,Capillaria,17
Salmo salar,Capillaria,0
Salvelinus fontinalis,Capillaria,4
Salvelinus namaycush,Capillaria,59
Coregonus clupeaformis,Capillaria,20
Esox lucius,Capillaria,0
Catostomus catostomus,Capillaria,0
Host species,Metabronema,18
Salmo salar,Metabronema,0
Salvelinus fontinalis,Metabronema,3
Salvelinus namaycush,Metabronema,0
Coregonus clupeaformis,Metabronema,0
Esox lucius,Metabronema,0
Catostomus catostomus,Metabronema,0
Host species,Metechinorhynchus,19
Salmo salar,Metechinorhynchus,0
Salvelinus fontinalis,Metechinorhynchus,3
Salvelinus namaycush,Metechinorhynchus,0
Coregonus clupeaformis,Metechinorhynchus,0
Esox lucius,Metechinorhynchus,1
Catostomus catostomus,Metechinorhynchus,0
Host species,Neoechinorhynchus,20
Salmo salar,Neoechinorhynchus,0
Salvelinus fontinalis,Neoechinorhynchus,0
Salvelinus namaycush,Neoechinorhynchus,0
Coregonus clupeaformis,Neoechinorhynchus,0
Esox lucius,Neoechinorhynchus,0
Catostomus catostomus,Neoechinorhynchus,57
Host species,Ergasilus,21
Salmo salar,Ergasilus,0
Salvelinus fontinalis,Ergasilus,0
Salvelinus namaycush,Ergasilus,0
Coregonus clupeaformis,Ergasilus,0
Esox lucius,Ergasilus,0
Catostomus catostomus,Ergasilus,7
Host species,Salmincola,22
Salmo salar,Salmincola,20
Salvelinus fontinalis,Salmincola,0
Salvelinus namaycush,Salmincola,0
Coregonus clupeaformis,Salmincola,9
Esox lucius,Salmincola,0
Catostomus catostomus,Salmincola,0
Host species,Salmincola.1,23
Salmo salar,Salmincola.1,0
Salvelinus fontinalis,Salmincola.1,0
Salvelinus namaycush,Salmincola.1,0
Coregonus clupeaformis,Salmincola.1,1
Esox lucius,Salmincola.1,0
Catostomus catostomus,Salmincola.1,0
Host species,Salmincola.2,24
Salmo salar,Salmincola.2,0
Salvelinus fontinalis,Salmincola.2,37
Salvelinus namaycush,Salmincola.2,0
Coregonus clupeaformis,Salmincola.2,0
Esox lucius,Salmincola.2,0
Catostomus catostomus,Salmincola.2,0
Host species,Salmincola.3,25
Salmo salar,Salmincola.3,0
Salvelinus fontinalis,Salmincola.3,0
Salvelinus namaycush,Salmincola.3,3
Coregonus clupeaformis,Salmincola.3,0
Esox lucius,Salmincola.3,0
Catostomus catostomus,Salmincola.3,0
